region_schema,region_parent,region_child,agerange,2020-05-03,2020-06-10,2020-06-30,2020-07-02,2020-07-06,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02
pt_municipality,pt,caminha,,,,19,,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,29,33,37,41,43,55,65,73,78,78,78,78,78,78,90,90,90,90,90
pt_municipality,pt,campo maior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,10,9,9,9,20,19,19,19,19,19,19,9,9,9,9,9
pt_municipality,pt,cantanhede,,,,74,,75,76,76,76,76,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,84,86,90,105,119,132,146,160,179,162,139,139,139,139,139,139,144,144,144,144,144
pt_municipality,pt,carrazeda de ansiães,,,,6,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,9,9,3,1,1,1,1,1,1,3,3,3,3,3
pt_municipality,pt,carregal do sal,,,,13,,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,23,30,30,30,30,30,30,23,23,23,23,23
pt_municipality,pt,cartaxo,,,,85,,86,90,90,90,90,92,92,92,92,92,92,92,93,93,93,93,93,93,93,91,91,91,91,91,91,91,91,91,91,91,95,95,95,97,104,109,111,113,85,59,59,59,59,59,59,47,47,47,47,47
pt_municipality,pt,cascais,,,,952,,1061,1212,1212,1212,1212,1302,1302,1302,1302,1302,1302,1302,1382,1382,1382,1382,1382,1382,1382,1441,1441,1441,1478,1478,1478,1478,1478,1478,1478,1509,1543,1596,1646,1724,1880,2036,2177,2380,869,852,852,852,852,852,852,790,790,790,790,790
pt_municipality,pt,castanheira de pêra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,12,12,12,12,12,12,17,17,17,17,17
pt_municipality,pt,castelo branco,,,,28,,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,35,35,35,35,35,35,35,36,36,37,40,45,59,74,77,83,314,259,259,259,259,259,259,276,276,276,276,276
pt_municipality,pt,castelo de paiva,,,,23,,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,33,37,41,49,52,51,54,56,60,62,59,59,59,59,59,59,53,53,53,53,53
pt_municipality,pt,castelo de vide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,69,69,69,69,69,69,70,70,70,70,70
pt_municipality,pt,castro daire,,,,107,,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,111,111,112,113,114,115,116,116,117,52,57,57,57,57,57,57,63,63,63,63,63
pt_municipality,pt,castro marim,,,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,12,22,30,37,15,13,13,13,13,13,13,2,2,2,2,2
pt_municipality,pt,castro verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,13,12,12,12,12,12,12,13,13,13,13,13
pt_municipality,pt,celorico da beira,,,,8,,8,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,10,10,10,10,10,10,25,20,20,20,20,20,20,28,28,28,28,28
pt_municipality,pt,celorico de basto,,,,20,,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,24,29,31,32,32,32,37,39,107,68,68,68,68,68,68,112,112,112,112,112
pt_municipality,pt,chamusca,,,,8,,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,12,12,12,12,12,12,12,13,13,14,16,19,22,27,31,38,64,55,55,55,55,55,55,24,24,24,24,24
pt_municipality,pt,chaves,,,,26,,26,26,26,26,26,25,25,25,25,25,25,25,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,28,30,41,49,65,89,99,120,138,820,773,773,773,773,773,773,582,582,582,582,582
pt_municipality,pt,cinfães,,,,92,,92,128,128,128,128,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,134,134,134,136,137,151,104,116,116,116,116,116,116,101,101,101,101,101
pt_municipality,pt,coimbra,,,,613,,614,621,621,621,621,626,626,626,626,626,626,626,627,627,627,627,627,627,627,632,632,632,635,635,635,635,635,635,635,638,642,651,668,685,708,739,785,810,584,585,585,585,585,585,585,653,653,653,653,653
pt_municipality,pt,condeixa-a-nova,,,,155,,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,157,159,160,162,164,173,180,95,71,71,71,71,71,71,103,103,103,103,103
pt_municipality,pt,constância,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,7,3,7,7,7,7,7,7,10,10,10,10,10
pt_municipality,pt,coruche,,,,51,,51,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,58,60,60,64,72,77,81,83,42,29,29,29,29,29,29,36,36,36,36,36
pt_municipality,pt,corvo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
pt_municipality,pt,covilhã,,,,9,,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,13,19,22,26,240,205,205,205,205,205,205,154,154,154,154,154
pt_municipality,pt,crato,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,46,46,46,46,46,46,46,35,35,35,35,35
pt_municipality,pt,cuba,,,,4,,4,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,9,10,11,11,14,10,10,10,10,10,10,15,15,15,15,15
pt_municipality,pt,câmara de lobos,,,,41,,41,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,43,44,44,45,46,48,48,48,50,50,35,35,35,35,35,35,45,45,45,45,45
pt_municipality,pt,elvas,,,,11,,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,27,28,30,33,38,55,55,55,55,55,55,120,120,120,120,120
pt_municipality,pt,entroncamento,,,,14,,15,16,16,16,16,18,18,18,18,18,18,18,27,27,27,27,27,27,27,33,33,33,45,45,45,45,45,45,45,49,55,55,56,71,77,94,104,120,52,42,42,42,42,42,42,39,39,39,39,39
pt_municipality,pt,espinho,,,,119,,119,121,121,121,121,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,124,124,124,124,124,124,124,124,125,125,128,134,142,153,167,177,311,197,197,197,197,197,197,163,163,163,163,163
pt_municipality,pt,esposende,,,,50,,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,58,62,64,66,69,76,87,94,113,460,418,418,418,418,418,418,410,410,410,410,410
pt_municipality,pt,estarreja,,,,107,,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,109,110,110,111,111,112,113,114,120,125,130,130,130,130,130,130,110,110,110,110,110
pt_municipality,pt,estremoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,5,5,21,20,20,20,20,20,20,54,54,54,54,54
pt_municipality,pt,fafe,,,,125,,125,123,123,123,123,124,124,124,124,124,124,124,125,125,125,125,125,125,125,127,127,127,127,127,127,127,127,127,127,129,139,142,149,153,160,168,180,200,504,288,288,288,288,288,288,193,193,193,193,193
pt_municipality,pt,faro,,,,85,,85,106,106,106,106,118,118,118,118,118,118,118,127,127,127,127,127,127,127,135,135,135,141,141,141,141,141,141,141,149,156,178,181,185,195,217,227,249,102,157,157,157,157,157,157,190,190,190,190,190
pt_municipality,pt,felgueiras,,,,418,,420,422,422,422,422,426,426,426,426,426,426,426,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,429,442,482,495,517,564,596,634,680,465,465,465,465,465,465,299,299,299,299,299
pt_municipality,pt,ferreira do alentejo,,,,,,,,,,,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,8,8,8,8,8
pt_municipality,pt,ferreira do zêzere,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,3,4,4,4,4,4,4,9,9,9,9,9
pt_municipality,pt,figueira da foz,,,,41,,41,44,44,44,44,46,46,46,46,46,46,46,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,54,56,62,67,71,81,86,92,291,239,239,239,239,239,239,234,234,234,234,234
pt_municipality,pt,figueira de castelo rodrigo,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,4,4,4,18,19,20,26,26,48,39,39,39,39,39,39,15,15,15,15,15
pt_municipality,pt,figueiró dos vinhos,,,,16,,16,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,27,27,27,27,22,32,32,32,32,32,32,66,66,66,66,66
pt_municipality,pt,fornos de algodres,,,,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,8,8,8,8,8,8,8,8,8,8,8,8
pt_municipality,pt,freixo de espada à cinta,,,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,21,26,26,23,16,16,16,16,16,16,12,12,12,12,12
pt_municipality,pt,fronteira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,3,3,3,3,3,7,7,7,7,7
pt_municipality,pt,funchal,,,,26,,26,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,34,34,34,40,40,40,40,40,40,40,46,50,60,68,75,78,83,97,121,68,105,105,105,105,105,105,134,134,134,134,134
pt_municipality,pt,fundão,,,,14,,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,21,21,21,21,21,22,26,31,35,123,78,78,78,78,78,78,72,72,72,72,72
pt_municipality,pt,gavião,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,40,49,49,49,49,49,49,60,60,60,60,60
pt_municipality,pt,golegã,,,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,9,9,9,9,9,10,11,13,13,14,18,22,23,24,21,14,14,14,14,14,14,11,11,11,11,11
pt_municipality,pt,gondomar,,,,1093,,1093,1097,1097,1097,1097,1102,1102,1102,1102,1102,1102,1102,1107,1107,1107,1107,1107,1107,1107,1110,1110,1110,1111,1111,1111,1111,1111,1111,1111,1116,1126,1132,1139,1153,1197,1240,1289,1370,1142,1029,1029,1029,1029,1029,1029,946,946,946,946,946
pt_municipality,pt,gouveia,,,,23,,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,25,25,25,26,29,29,31,31,31,56,56,56,56,56,56,56,54,54,54,54,54
pt_municipality,pt,grândola,,,,20,,21,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,29,29,29,32,41,46,49,50,51,63,83,83,83,83,83,83,80,80,80,80,80
pt_municipality,pt,guarda,,,,28,,28,58,58,58,58,63,63,63,63,63,63,63,64,64,64,64,64,64,64,66,66,66,69,69,69,69,69,69,69,69,70,73,76,79,82,89,96,102,251,229,229,229,229,229,229,312,312,312,312,312
pt_municipality,pt,góis,,,,11,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,24,8,7,7,7,7,7,7,3,3,3,3,3
pt_municipality,pt,horta,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,2,1,1,1,1,1,1,4,4,4,4,4
pt_municipality,pt,idanha-a-nova,,,,,,,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,14,14,47,47,47,47,47,47,92,92,92,92,92
pt_municipality,pt,lagoa,,,,13,,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,18,18,18,21,21,21,21,21,21,21,22,26,28,32,39,46,50,3,3,42,25,25,25,25,25,25,17,17,17,17,17
