region_schema,region_parent,region_child,agerange,2020-07-22,2020-07-23,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
il_municipality,il,hadera,,10,-3,0,0,0,0,-13,3,12,0,-17,11,10,-2,7,0,0,23,-10,3,-13,2,5,-3,5,0,3,-24,1
il_municipality,il,haifa,,72,25,0,0,0,0,-107,-9,-4,0,-87,-19,-18,-38,-35,3,0,0,-18,6,9,11,1,18,-8,0,17,-10,-1
il_municipality,il,harish,,-1,3,0,0,0,0,-13,2,0,0,-1,4,5,-1,-1,1,0,2,-1,1,7,-2,3,2,-1,0,23,-1,0
il_municipality,il,hatsor haglilit,,0,1,0,0,0,0,,,,,,,,,,,,,1,4,1,0,-1,-1,1,0,0,1,0
il_municipality,il,hertseliya,,3,6,0,0,0,0,-94,8,-4,0,-3,2,0,-12,2,-1,0,0,-12,-10,-5,-1,1,-4,-3,0,3,-22,4
il_municipality,il,hod hasharon,,0,9,0,0,0,0,-50,2,0,0,-8,4,0,-1,5,-1,0,6,2,-7,0,-2,-3,4,-2,0,-1,-16,0
il_municipality,il,holon,,39,54,0,0,0,0,-170,-4,-21,0,-7,13,-12,-42,8,-19,0,26,-29,-41,-33,-17,-6,1,-50,0,38,-35,-2
il_municipality,il,hura,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,hurfeish,,,,,,,,,,,,,,,,,0,0,3,24,0,3,2,0,3,0,0,4,-1,0
il_municipality,il,i'eblin,,,3,0,0,0,0,0,-1,0,0,,,,,,,,,,,,,,,,,,,1
il_municipality,il,iksal,,-1,0,0,0,0,0,13,-2,0,0,-2,-5,1,-2,1,8,0,5,-3,3,3,1,-1,3,0,0,0,2,0
il_municipality,il,ilut,,,,,,,,,,,,,,,,,,0,6,32,15,3,28,-1,71,5,0,19,-4,-6
il_municipality,il,jaljulya,,2,0,0,0,0,0,-32,0,0,0,0,0,-5,1,1,-1,0,9,-1,-6,6,2,0,3,-1,0,6,1,4
il_municipality,il,jat,,2,7,0,0,0,0,-11,-1,0,0,-8,0,1,12,6,2,0,2,7,-3,0,4,0,-13,2,0,9,5,0
il_municipality,il,jdeyde-ma'ker,,,,,,,,,1,2,0,0,1,0,3,2,2,0,-3,7,2,8,6,12,5,7,0,35,21,12
il_municipality,il,jiser a-zarka,,2,1,0,0,0,0,-32,-1,0,0,-5,1,-3,-4,-2,-1,0,3,-1,-5,-1,0,0,-1,17,0,3,0,10
il_municipality,il,kabul,,,,,,,,,,,,,,,,,,,,,1,3,2,0,2,1,0,2,0,-3
il_municipality,il,kadima-tsoran,,0,1,0,0,0,0,-2,7,0,0,2,0,0,-1,0,0,0,4,0,-6,0,3,2,-1,0,0,0,-10,-2
il_municipality,il,kafar bara,,,,,,,,,,,,,,,,,,,,,0,5,0,0,3,9,0,25,5,3
il_municipality,il,kafar kara,,1,1,0,0,0,0,-61,-4,2,0,-1,0,1,0,-2,4,0,-1,-3,-10,0,-1,0,-4,0,0,12,-3,-1
il_municipality,il,kafar kasem,,-3,-1,0,0,0,0,-86,-4,2,0,-7,5,13,11,4,1,0,28,11,-11,19,8,1,10,16,0,34,8,13
il_municipality,il,kalanswa,,32,70,0,0,0,0,-3,-11,-1,0,-43,-35,5,-22,-9,12,0,-12,8,-113,-12,4,-2,-21,-12,0,-10,2,0
il_municipality,il,karmiel,,-1,2,0,0,0,0,0,4,1,0,4,14,5,-4,6,0,0,1,-2,2,-1,8,1,1,-4,0,13,-3,1
il_municipality,il,kfar kana,,,,0,0,0,0,12,2,0,0,-1,1,-2,-4,1,3,0,-3,9,1,-2,-1,6,0,3,0,3,0,9
il_municipality,il,kfar manda,,5,5,0,0,0,0,11,9,4,0,-4,2,20,1,3,4,0,-8,1,0,2,2,-6,-8,-10,0,-5,1,-2
il_municipality,il,kfar saba,,10,18,0,0,0,0,-93,1,-5,0,-16,-3,5,-2,-2,1,0,9,2,-13,2,15,-1,4,-17,0,19,-15,4
il_municipality,il,kfar yasif,,,,,,,,,,,,,,,,,,,,,,,1,0,4,-2,0,4,2,1
il_municipality,il,kfar yona,,1,3,0,0,0,0,-5,0,-1,0,-1,4,0,1,-2,0,0,4,0,0,1,4,-1,4,-11,0,6,-1,3
il_municipality,il,kiryat ata,,15,14,0,0,0,0,-53,8,1,0,-26,-2,-5,-6,-8,1,0,-7,3,-5,-3,1,3,10,-1,0,26,-14,4
il_municipality,il,kiryat biyalik,,5,4,0,0,0,0,10,5,0,0,6,4,3,-1,8,-2,0,2,17,-2,-7,1,1,1,-10,0,10,-9,-8
il_municipality,il,kiryat ekron,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,kiryat gat,,4,15,0,0,0,0,-99,-8,0,0,-12,-7,-3,-8,-19,-5,0,-5,-3,-5,-8,2,-3,-3,3,0,15,-23,-1
il_municipality,il,kiryat mal'ahi,,10,2,0,0,0,0,-146,10,-2,0,-15,-3,2,4,0,-1,0,10,6,-12,-15,-2,5,-16,4,0,3,-9,-2
il_municipality,il,kiryat motskin,,5,4,0,0,0,0,-16,-2,-2,0,-5,-1,0,0,-1,-1,0,-2,0,2,0,-1,0,1,-4,0,3,-9,0
il_municipality,il,kiryat ono,,5,-1,0,0,0,0,-46,3,-4,0,3,5,7,-3,0,3,0,8,7,-14,-1,0,-1,-2,-4,0,-4,-3,0
il_municipality,il,kiryat shmona,,-1,1,0,0,0,0,-36,0,1,0,-3,1,0,2,-1,1,0,-1,0,4,-2,-3,0,-1,4,0,1,-3,0
il_municipality,il,kiryat tiv'on,,,,0,0,0,0,,,,,,,,0,,,,,0,2,-1,2,1,6,-3,0,4,-5,-1
il_municipality,il,kiryat yam,,4,3,0,0,0,0,4,-1,2,0,-8,0,0,-2,-1,0,0,-3,-1,-2,1,-2,1,1,0,0,6,0,1
il_municipality,il,lakiye,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,1
il_municipality,il,lehavim,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,lod,,22,33,0,0,0,0,-311,0,-1,0,-67,15,-19,-10,-13,-1,0,-2,2,-54,-17,4,6,-24,-23,0,23,-21,15
il_municipality,il,ma'ale i'ron,,,,,,,,,3,0,0,1,1,1,0,5,3,0,5,1,9,2,0,12,9,4,0,8,2,4
il_municipality,il,ma'alot-tarshiha,,,,,,,,,,,,,,,0,-2,1,0,3,-2,3,5,0,-1,-3,4,0,7,9,3
il_municipality,il,majd al-krum,,1,0,0,0,0,0,,,,,,0,4,0,1,0,0,,,2,3,2,9,9,9,0,7,5,-4
il_municipality,il,majdel shams,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,-4,0,1,0,1
il_municipality,il,mas'ade,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-1,0
il_municipality,il,mazkeret batya,,6,6,0,0,0,0,-18,-4,0,0,-11,-2,-3,-1,-1,-1,0,-4,-1,-5,1,0,1,2,-3,0,2,-3,
il_municipality,il,meitar,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,0,0,2,0,-2
il_municipality,il,mevaseret tsiyon,,1,3,0,0,0,0,-5,-1,0,0,-2,3,-6,-1,-2,0,0,-2,-2,0,4,0,2,1,1,0,7,-5,1
il_municipality,il,migdal ha'emek,,5,0,0,0,0,0,-17,0,0,0,1,1,1,-1,-1,-1,0,4,-1,0,2,-2,0,2,0,0,2,-3,1
il_municipality,il,modi'in-makabim-re'ut,,-4,10,0,0,0,0,-115,0,-2,0,-2,-6,-4,-9,6,-5,0,14,3,-19,-2,1,-1,6,-4,0,22,-30,-3
il_municipality,il,nahariya,,5,1,0,0,0,0,-33,-3,1,0,4,1,5,15,-3,0,0,4,7,9,1,1,-3,-6,-3,0,-11,-11,-9
il_municipality,il,nahef,,3,-5,0,0,0,0,,,,,,,,0,6,0,0,5,4,0,8,-1,1,1,6,0,-1,-2,1
il_municipality,il,natsrat (nazareth),,17,24,0,0,0,0,28,-1,3,0,-7,3,-4,-7,-16,21,0,30,13,6,12,4,0,-65,-12,0,3,2,10
il_municipality,il,nes tsiyona,,5,-1,0,0,0,0,-27,7,-3,0,-2,-1,-5,-11,11,-6,0,-9,-14,-20,-1,5,-3,6,-12,0,0,-19,0
il_municipality,il,nesher,,1,0,0,0,0,0,-3,-2,,,,,,,,,,,,,,,,,1,0,2,-1,0
il_municipality,il,netanya,,20,20,0,0,0,0,-116,15,13,0,3,17,-1,-11,29,5,0,12,11,-15,-36,6,5,9,-11,0,57,-43,7
il_municipality,il,netivot,,9,10,0,0,0,0,20,8,-5,0,1,6,8,-13,-11,-1,0,8,10,11,-1,-7,-9,-1,6,0,29,-3,-11
il_municipality,il,ofakim,,0,5,0,0,0,0,-48,-5,-3,0,9,-3,-1,-4,0,1,0,-8,3,6,-6,-2,0,3,4,0,1,-8,3
il_municipality,il,omer,,,,0,0,0,0,-2,8,1,0,-8,2,5,-1,3,0,0,1,-2,-1,-5,0,0,-3,1,0,2,4,2
il_municipality,il,or akiva,,8,4,0,0,0,0,-47,-7,1,0,-11,-1,-4,-1,-5,-1,0,3,-1,-5,-4,-1,0,-5,2,0,-3,-11,2
il_municipality,il,or yehuda,,2,12,0,0,0,0,-106,-2,0,0,2,7,24,-1,-2,1,0,-1,-3,-19,-1,-4,-4,6,-15,0,50,-3,1
il_municipality,il,pardes hana-karkur,,8,-1,0,0,0,0,-36,-2,-2,0,-5,-10,4,-5,-2,1,0,4,-2,4,4,6,2,4,-3,0,8,-7,-1
il_municipality,il,petah tikva,,49,55,0,0,0,0,-268,3,-27,0,-61,-20,-14,-28,-5,-3,0,-22,-23,-99,-40,7,22,-20,-25,0,37,-37,10
il_municipality,il,ra'anana,,3,7,0,0,0,0,-129,-5,-8,0,-12,-2,-7,-5,6,-6,0,1,17,0,0,13,-1,0,-8,0,10,-17,5
il_municipality,il,rahat,,5,7,0,0,0,0,-141,-2,1,0,-29,16,5,4,-2,0,0,-14,18,10,10,5,-1,16,56,0,40,23,28
il_municipality,il,ramat gan,,20,12,0,0,0,0,-140,3,-13,0,-3,-7,20,-2,16,-11,0,13,-10,-40,-12,10,3,-17,-23,0,-14,-39,7
il_municipality,il,ramat hasharon,,4,4,0,0,0,0,-49,5,-3,0,-8,5,1,-7,-4,0,0,-3,-6,-3,-4,-3,0,7,-2,0,3,-5,0
il_municipality,il,ramat yishay,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,
il_municipality,il,ramla,,17,21,0,0,0,0,-101,13,-1,0,-27,6,7,-22,6,-7,0,8,-5,-46,-28,-2,4,-35,-11,0,12,3,11
il_municipality,il,rehasim,,7,8,0,0,0,0,-27,6,-10,0,-7,-3,5,-5,-7,0,0,-4,1,0,-6,1,1,-1,-4,0,-1,-3,-1
il_municipality,il,rehovot,,10,21,0,0,0,0,-62,13,-2,0,-10,-16,24,-2,-2,-2,0,9,-11,-47,-17,-17,-2,4,-13,0,-15,-28,9
il_municipality,il,reyne,,2,0,0,0,0,0,,,,0,,,,1,0,4,0,6,3,8,1,0,4,1,0,0,3,5,-5
il_municipality,il,rishon letsiyon,,37,27,0,0,0,0,-226,-10,-18,0,-26,18,-1,-9,-7,-7,0,22,-9,-27,-16,-7,0,0,-30,0,25,-53,8
il_municipality,il,rosh ha'ayin,,10,13,0,0,0,0,-71,-3,1,0,2,10,19,8,5,-2,0,12,8,-16,-3,6,1,-7,3,0,-5,-25,9
il_municipality,il,sah'nin,,,1,0,0,0,0,-4,3,0,0,-5,5,7,1,3,1,0,19,29,7,9,7,-1,9,27,0,26,20,7
il_municipality,il,savyon,,1,0,0,0,0,0,,,,,,,,,,,,,1,2,-1,0,0,0,,,,,
il_municipality,il,sderot,,2,2,0,0,0,0,-8,5,0,0,-4,-1,0,-1,-1,-1,0,2,-1,0,-3,-1,-2,-5,1,0,3,0,0
il_municipality,il,sha'ab,,,,,,,,,,,,,,,,,,,,,0,4,0,4,0,3,0,-3,1,0
il_municipality,il,shfaram,,0,1,0,0,0,0,-2,-3,1,0,1,5,4,1,4,1,0,7,0,9,0,0,-3,5,2,0,9,7,1
il_municipality,il,shlomi,,,,0,0,0,0,4,-1,0,0,-9,,,,,,,,,,,,,,,,,,
il_municipality,il,tamra,,6,1,0,0,0,0,-21,-1,0,0,,,,3,1,1,0,9,6,0,6,-1,3,4,-2,0,-5,3,-1
il_municipality,il,taybe,,7,24,0,0,0,0,67,10,5,0,-28,8,25,-5,31,8,0,6,2,-80,0,-3,10,-36,0,0,-36,-10,-2
il_municipality,il,tel mond,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,,,,-3,1
il_municipality,il,tel sheva,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
il_municipality,il,tira,,9,1,0,0,0,0,-1,5,0,0,-4,-2,10,2,21,-1,0,13,4,-16,15,12,1,10,7,0,37,43,24
il_municipality,il,tirat karmel,,2,1,0,0,0,0,-24,2,0,0,2,-2,3,1,2,2,0,1,2,0,-3,4,0,-1,-4,0,7,-3,0
il_municipality,il,tsfat,,2,3,0,0,0,0,-21,3,2,0,7,14,6,18,0,2,0,24,8,5,-8,7,4,-6,-14,0,7,-12,2
il_municipality,il,tur'an,,,,,,,,,1,1,0,0,-1,2,-3,5,1,0,-3,-4,0,1,0,0,-2,0,0,,,
il_municipality,il,tverya (tiberias),,-4,3,0,0,0,0,-107,0,-1,0,-16,0,18,1,-9,4,0,-3,9,-2,12,3,5,4,-1,0,15,-12,0
il_municipality,il,um al-fahem,,7,3,0,0,0,0,7,4,7,0,2,4,7,-4,19,2,0,0,3,-8,-8,-4,14,-3,4,0,24,0,20
il_municipality,il,yafi'a,,5,8,0,0,0,0,8,7,1,0,-5,-4,0,2,-1,4,0,7,0,1,2,3,-4,1,-4,0,-2,2,-4
il_municipality,il,yanuh-jat,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,4,2,2
il_municipality,il,yavne,,9,-1,0,0,0,0,-57,0,2,0,5,1,1,-3,-5,-1,0,-5,0,-13,-7,1,3,-1,-9,0,19,-3,3
il_municipality,il,yavne'el,,6,0,0,0,0,0,-23,0,-1,0,-15,,,,,,,,,,,,,,,,,,
il_municipality,il,yeroham,,6,3,0,0,0,0,-6,0,0,0,-1,-3,-3,-1,1,-1,0,-1,-2,-1,0,0,0,-1,-2,0,0,-3,0
il_municipality,il,yerushalayim (jerusalem),,314,235,0,0,0,0,-987,46,21,0,-405,39,94,-112,-79,1,0,185,-67,22,-39,33,-114,-45,-14,0,28,-276,23
il_municipality,il,yirka,,,,,,,,,,,,,11,29,27,70,24,0,65,9,17,9,2,31,-44,12,0,-36,-25,-7
il_municipality,il,yokne'am ilit,,,1,0,0,0,0,0,3,-1,0,2,2,4,-1,4,-1,0,-2,0,0,-4,-1,-1,3,-9,0,5,-3,0
il_municipality,il,zarzir,,,,,,,,,,,,,,,,,,,,0,1,2,1,0,0,0,0,2,-1,1
il_municipality,il,zemer,,,,0,0,0,0,23,3,1,0,10,2,5,-2,2,-1,0,-7,5,-11,-1,4,-1,0,-3,0,-1,-3,3
il_municipality,il,zih'ron ya'akov,,5,0,0,0,0,0,-1,-1,1,0,-4,0,0,-1,-2,0,0,-4,-1,-1,-1,2,6,0,-2,0,6,5,4
il_municipality,il,אלפי מנשה,,-3,0,0,0,0,0,,,0,0,2,0,0,-2,2,0,0,-1,-2,,,,,,,,,,
il_municipality,il,אלקנה,,,,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,
il_municipality,il,אפרת,,4,1,0,0,0,0,-9,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,אריאל,,1,0,0,0,0,0,-7,1,1,0,-2,1,0,1,1,0,0,5,0,-5,2,0,0,0,0,0,0,-1,1
il_municipality,il,באקה אל-גרביה,,9,2,0,0,0,0,-94,12,3,0,-10,5,9,2,5,1,0,13,5,-24,-6,8,-4,-12,-17,0,-7,-2,-4
il_municipality,il,בית אל,,,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,-1,0,,,,,,,,,,
il_municipality,il,בית אריה-עופרים,,4,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,ביתר עילית,,90,27,0,0,0,0,-449,-1,-4,0,-147,-17,-21,-16,-33,2,0,-14,-23,-14,-51,-11,-6,-20,-6,0,-35,-50,-4
il_municipality,il,ג'ולס,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,-2,0
il_municipality,il,גבע בנימין,,,,0,0,0,0,2,2,0,0,-3,-3,-2,0,-2,0,0,-1,,,,,,,,,,,
il_municipality,il,גבעת זאב,,7,10,0,0,0,0,-44,-5,6,0,-1,-7,0,-1,-6,1,0,6,-7,-1,-7,-2,0,-1,3,0,2,-9,1
il_municipality,il,דייר אל-אסד,,,,,,,,,,,,,,,4,8,2,0,17,9,6,1,5,2,0,-6,0,-5,-4,-3
il_municipality,il,דייר חנא,,,,,,,,,,,,,,,,,,,,1,0,-2,0,0,1,5,0,1,0,0
il_municipality,il,הושעיה,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,חשמונאים,,,2,0,0,0,0,1,-1,2,0,0,0,-4,-2,-1,-1,0,1,0,,,,,,,,,,
il_municipality,il,טלמון,,,,0,0,0,0,-2,1,0,0,,,,,,,,,,,,,,,,,,,
il_municipality,il,יד בנימין,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,יהוד-מונוסון,,5,4,0,0,0,0,-30,1,3,0,0,-1,4,-2,3,0,0,0,-1,-6,-3,2,-2,-1,-2,0,3,-7,-1
il_municipality,il,כוכב יעקב,,1,0,0,0,0,0,-8,5,2,0,6,4,-3,1,3,1,0,-2,-4,0,-6,3,-1,-2,1,0,-3,1,7
il_municipality,il,כסיפה,,2,-7,0,0,0,0,-74,-4,0,0,,,,,,1,0,2,5,5,0,0,0,0,0,0,0,-4,0
il_municipality,il,כפר האורנים,,,,,,,,,,,,,,,3,3,-1,0,6,8,-1,-2,0,-2,-1,-5,0,-2,-8,
il_municipality,il,"כפר חב""ד",,2,2,0,0,0,0,-17,1,2,0,-5,-5,0,-3,-4,3,0,-1,-1,-5,2,-1,0,-4,-1,0,7,-1,0
il_municipality,il,כפר מצר,,,,,,,,,1,1,0,1,0,-4,-2,-3,0,0,-6,,,,,,,,,,,
il_municipality,il,לא ידוע,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
il_municipality,il,מבוא חורון,,,,,,,,,0,0,0,-3,-1,-2,0,,,,,,,,,,,,,,,
il_municipality,il,מגאר,,,,0,0,0,0,,,0,0,,,1,0,0,1,0,6,2,1,1,2,1,2,2,0,5,5,0
il_municipality,il,מודיעין עילית,,44,25,0,0,0,0,46,19,4,0,75,78,82,4,70,-10,0,198,-5,36,-59,-19,-7,-34,-42,0,-26,-140,-40
il_municipality,il,מעלה אדומים,,6,3,0,0,0,0,-17,-2,2,0,1,7,-2,-1,-1,3,0,2,0,-9,0,5,0,5,4,0,10,-23,1
il_municipality,il,נוף הגליל,,7,2,0,0,0,0,3,-1,0,0,-2,5,9,4,2,-1,0,1,4,1,0,-1,2,3,-7,0,6,0,-5
il_municipality,il,עוזייר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
il_municipality,il,עיילבון,,,,,,,,,,,,,,,,,,,,,,,,,2,-1,0,0,,
il_municipality,il,עין נקובא,,,,,,,,,-2,1,0,-1,0,3,12,4,1,0,6,17,3,3,5,0,-2,9,0,9,-7,-3
il_municipality,il,עין קנייא,,,,,,,,,,,,,,,,,,,,,,,5,1,6,-4,0,7,0,-1
il_municipality,il,עמנואל,,-2,0,0,0,0,0,,,,0,-1,0,5,0,-2,0,0,7,5,-1,-5,-2,0,0,3,0,-2,-1,1
il_municipality,il,עספיא,,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2
il_municipality,il,ערערה-בנגב,,-1,-1,0,0,0,0,-60,0,0,0,-2,3,1,-2,-4,0,0,-3,0,1,-2,-1,0,0,1,0,-1,-2,
il_municipality,il,עתלית,,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
il_municipality,il,צור הדסה,,,,,,,,,,,,,,,,,,,,,2,-1,-1,0,2,0,0,0,0,-1
il_municipality,il,קרית ארבע,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
il_municipality,il,קרית יערים,,4,3,0,0,0,0,-14,1,-2,0,-2,-1,1,1,2,1,0,7,-4,0,4,-2,0,0,-2,0,-3,,
il_municipality,il,קרני שומרון,,,,,,,,,5,0,0,-1,2,1,-1,1,0,0,-7,1,0,,,,,,,,-1,7
il_municipality,il,שוהם,,2,-2,0,0,0,0,-19,-1,1,0,4,0,0,-4,-3,-5,0,6,2,0,1,-1,2,5,1,0,-2,-14,-1
il_municipality,il,שערי תקווה,,,1,0,0,0,0,,,,,,,,,,0,0,2,0,-2,-1,,,,,,,,
il_municipality,il,תל אביב - יפו,,34,46,0,0,0,0,-806,2,-35,0,-105,-7,35,-59,-30,-20,0,6,8,-79,-41,5,-8,0,-49,0,24,-98,8
il_municipality,il,תפרח,,-2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
