region_schema,region_parent,region_child,agerange,2020-07-31,2020-08-06
postcode,au-vic,3076,,146,152
postcode,au-vic,3077,,0,0
postcode,au-vic,3078,,2,8
postcode,au-vic,3079,,6,7
postcode,au-vic,3080,,0,0
postcode,au-vic,3081,,79,73
postcode,au-vic,3082,,30,64
postcode,au-vic,3083,,36,43
postcode,au-vic,3084,,12,18
postcode,au-vic,3085,,7,9
postcode,au-vic,3086,,0,0
postcode,au-vic,3087,,3,1
postcode,au-vic,3088,,20,24
postcode,au-vic,3089,,6,6
postcode,au-vic,3090,,21,39
postcode,au-vic,3091,,0,0
postcode,au-vic,3093,,2,3
postcode,au-vic,3094,,2,1
postcode,au-vic,3095,,7,12
postcode,au-vic,3096,,1,3
postcode,au-vic,3097,,0,0
postcode,au-vic,3099,,3,4
postcode,au-vic,3100,,,0
postcode,au-vic,3101,,13,16
postcode,au-vic,3102,,2,0
postcode,au-vic,3103,,3,5
postcode,au-vic,3104,,9,9
postcode,au-vic,3105,,1,1
postcode,au-vic,3106,,5,7
postcode,au-vic,3107,,3,2
postcode,au-vic,3108,,9,15
postcode,au-vic,3109,,21,30
postcode,au-vic,3110,,0,0
postcode,au-vic,3111,,1,6
postcode,au-vic,3113,,1,0
postcode,au-vic,3114,,4,4
postcode,au-vic,3115,,1,1
postcode,au-vic,3116,,4,13
postcode,au-vic,3118,,0,0
postcode,au-vic,3121,,44,57
postcode,au-vic,3122,,12,18
postcode,au-vic,3123,,8,9
postcode,au-vic,3124,,3,4
postcode,au-vic,3125,,18,19
postcode,au-vic,3126,,0,1
postcode,au-vic,3127,,2,1
postcode,au-vic,3128,,16,13
postcode,au-vic,3129,,3,1
postcode,au-vic,3130,,3,5
postcode,au-vic,3131,,11,8
postcode,au-vic,3132,,3,4
postcode,au-vic,3133,,7,8
postcode,au-vic,3134,,7,8
postcode,au-vic,3135,,5,7
postcode,au-vic,3136,,27,25
postcode,au-vic,3137,,50,56
postcode,au-vic,3138,,12,16
postcode,au-vic,3139,,4,7
postcode,au-vic,3140,,10,18
postcode,au-vic,3141,,5,16
postcode,au-vic,3142,,1,2
postcode,au-vic,3143,,3,4
postcode,au-vic,3144,,7,9
postcode,au-vic,3145,,11,12
postcode,au-vic,3146,,10,11
postcode,au-vic,3147,,6,3
postcode,au-vic,3148,,10,10
postcode,au-vic,3149,,10,9
postcode,au-vic,3150,,16,20
postcode,au-vic,3151,,5,5
postcode,au-vic,3152,,12,11
postcode,au-vic,3153,,5,7
postcode,au-vic,3154,,0,1
postcode,au-vic,3155,,7,10
postcode,au-vic,3156,,5,7
postcode,au-vic,3157,,0,0
postcode,au-vic,3158,,1,1
postcode,au-vic,3159,,2,2
postcode,au-vic,3160,,3,2
postcode,au-vic,3161,,2,8
postcode,au-vic,3162,,1,2
postcode,au-vic,3163,,15,19
postcode,au-vic,3164,,3,3
postcode,au-vic,3165,,9,12
postcode,au-vic,3166,,6,6
postcode,au-vic,3167,,7,8
postcode,au-vic,3168,,8,15
postcode,au-vic,3169,,8,14
postcode,au-vic,3170,,4,11
postcode,au-vic,3171,,8,12
postcode,au-vic,3172,,4,7
postcode,au-vic,3173,,20,22
postcode,au-vic,3174,,11,14
postcode,au-vic,3175,,112,147
postcode,au-vic,3176,,0,0
postcode,au-vic,3177,,15,21
postcode,au-vic,3178,,12,12
postcode,au-vic,3179,,2,7
postcode,au-vic,3180,,0,0
postcode,au-vic,3181,,24,19
postcode,au-vic,3182,,15,15
postcode,au-vic,3183,,7,10
postcode,au-vic,3184,,1,4
postcode,au-vic,3185,,7,11
postcode,au-vic,3186,,21,32
postcode,au-vic,3187,,5,6
postcode,au-vic,3188,,3,3
postcode,au-vic,3189,,2,4
postcode,au-vic,3190,,3,50
postcode,au-vic,3191,,1,3
postcode,au-vic,3192,,10,13
postcode,au-vic,3193,,8,7
postcode,au-vic,3194,,2,2
postcode,au-vic,3195,,11,11
postcode,au-vic,3196,,18,36
postcode,au-vic,3197,,2,1
postcode,au-vic,3198,,3,6
postcode,au-vic,3199,,15,21
postcode,au-vic,3200,,12,11
postcode,au-vic,3201,,10,16
postcode,au-vic,3202,,0,0
postcode,au-vic,3204,,17,21
postcode,au-vic,3205,,6,2
postcode,au-vic,3206,,8,7
postcode,au-vic,3207,,11,16
postcode,au-vic,3210,,0,0
postcode,au-vic,3211,,9,11
postcode,au-vic,3212,,4,7
postcode,au-vic,3213,,2,1
postcode,au-vic,3214,,5,20
postcode,au-vic,3215,,3,15
postcode,au-vic,3216,,16,36
postcode,au-vic,3217,,7,11
postcode,au-vic,3218,,5,5
postcode,au-vic,3219,,9,8
postcode,au-vic,3220,,5,5
postcode,au-vic,3221,,3,3
postcode,au-vic,3222,,1,0
postcode,au-vic,3223,,0,3
postcode,au-vic,3224,,4,4
postcode,au-vic,3225,,1,1
postcode,au-vic,3226,,2,3
postcode,au-vic,3227,,0,0
postcode,au-vic,3228,,1,3
postcode,au-vic,3230,,0,0
postcode,au-vic,3231,,0,0
postcode,au-vic,3232,,2,2
postcode,au-vic,3233,,1,1
postcode,au-vic,3234,,0,0
postcode,au-vic,3235,,0,0
postcode,au-vic,3236,,0,0
postcode,au-vic,3237,,0,0
postcode,au-vic,3238,,0,0
postcode,au-vic,3239,,0,0
postcode,au-vic,3240,,1,1
postcode,au-vic,3241,,0,0
postcode,au-vic,3242,,0,0
postcode,au-vic,3243,,0,0
postcode,au-vic,3249,,5,11
postcode,au-vic,3250,,69,75
postcode,au-vic,3251,,1,1
postcode,au-vic,3254,,1,2
postcode,au-vic,3256,,0,0
postcode,au-vic,3257,,0,0
postcode,au-vic,3259,,0,0
postcode,au-vic,3260,,0,0
postcode,au-vic,3261,,,0
postcode,au-vic,3264,,0,0
postcode,au-vic,3265,,0,0
postcode,au-vic,3266,,0,1
postcode,au-vic,3267,,0,0
postcode,au-vic,3268,,0,0
postcode,au-vic,3269,,0,0
postcode,au-vic,3270,,0,1
postcode,au-vic,3271,,0,0
postcode,au-vic,3272,,0,0
postcode,au-vic,3273,,0,0
postcode,au-vic,3274,,0,0
postcode,au-vic,3275,,0,0
postcode,au-vic,3276,,0,0
postcode,au-vic,3277,,0,0
postcode,au-vic,3278,,0,0
postcode,au-vic,3279,,0,0
postcode,au-vic,3280,,0,0
postcode,au-vic,3281,,0,0
postcode,au-vic,3282,,0,0
postcode,au-vic,3283,,0,0
postcode,au-vic,3284,,0,0
postcode,au-vic,3285,,1,1
postcode,au-vic,3286,,0,0
postcode,au-vic,3287,,0,0
postcode,au-vic,3288,,0,0
postcode,au-vic,3289,,0,0
postcode,au-vic,3290,,0,0
postcode,au-vic,3291,,0,0
postcode,au-vic,3292,,0,0
postcode,au-vic,3293,,1,1
postcode,au-vic,3294,,0,0
postcode,au-vic,3300,,0,0
postcode,au-vic,3301,,0,0
postcode,au-vic,3302,,0,0
postcode,au-vic,3303,,0,0
postcode,au-vic,3304,,1,1
postcode,au-vic,3305,,11,12
postcode,au-vic,3306,,0,0
postcode,au-vic,3307,,0,0
postcode,au-vic,3309,,0,0
postcode,au-vic,3310,,0,0
postcode,au-vic,3311,,0,0
postcode,au-vic,3312,,0,0
postcode,au-vic,3314,,0,0
postcode,au-vic,3315,,0,0
postcode,au-vic,3317,,0,0
postcode,au-vic,3318,,0,0
postcode,au-vic,3319,,0,0
postcode,au-vic,3320,,0,0
postcode,au-vic,3321,,0,0
postcode,au-vic,3322,,0,0
postcode,au-vic,3323,,0,0
postcode,au-vic,3324,,0,0
postcode,au-vic,3325,,0,0
postcode,au-vic,3328,,0,2
postcode,au-vic,3329,,0,0
postcode,au-vic,3330,,0,0
postcode,au-vic,3331,,1,2
postcode,au-vic,3332,,3,5
postcode,au-vic,3333,,0,0
postcode,au-vic,3334,,0,0
postcode,au-vic,3335,,14,20
postcode,au-vic,3336,,20,36
postcode,au-vic,3337,,79,105
postcode,au-vic,3338,,66,105
postcode,au-vic,3339,,0,0
postcode,au-vic,3340,,8,9
postcode,au-vic,3341,,1,1
postcode,au-vic,3342,,2,1
postcode,au-vic,3345,,0,0
postcode,au-vic,3346,,0,0
postcode,au-vic,3350,,9,11
postcode,au-vic,3351,,1,0
postcode,au-vic,3352,,1,1
postcode,au-vic,3353,,0,0
postcode,au-vic,3354,,0,0
postcode,au-vic,3355,,0,3
postcode,au-vic,3356,,1,2
postcode,au-vic,3357,,0,0
postcode,au-vic,3358,,0,0
postcode,au-vic,3359,,0,0
postcode,au-vic,3360,,0,0
postcode,au-vic,3361,,0,0
postcode,au-vic,3363,,0,0
postcode,au-vic,3364,,0,0
postcode,au-vic,3365,,0,0
postcode,au-vic,3370,,0,0
postcode,au-vic,3371,,0,0
postcode,au-vic,3373,,0,0
postcode,au-vic,3374,,0,0
postcode,au-vic,3375,,0,0
postcode,au-vic,3377,,2,2
postcode,au-vic,3378,,0,0
postcode,au-vic,3379,,0,0
postcode,au-vic,3380,,1,0
postcode,au-vic,3381,,0,0
postcode,au-vic,3382,,0,0
postcode,au-vic,3384,,0,0
postcode,au-vic,3385,,0,0
postcode,au-vic,3386,,0,0
postcode,au-vic,3387,,0,0
postcode,au-vic,3388,,0,0
postcode,au-vic,3390,,0,0
postcode,au-vic,3391,,0,0
postcode,au-vic,3392,,0,0
postcode,au-vic,3393,,0,0
postcode,au-vic,3395,,0,0
postcode,au-vic,3396,,0,0
postcode,au-vic,3398,,0,0
postcode,au-vic,3399,,1,1
postcode,au-vic,3400,,4,2
postcode,au-vic,3401,,2,2
postcode,au-vic,3402,,0,0
postcode,au-vic,3405,,0,0
postcode,au-vic,3407,,0,0
postcode,au-vic,3408,,0,0
postcode,au-vic,3409,,1,1
postcode,au-vic,3412,,0,0
postcode,au-vic,3413,,0,0
postcode,au-vic,3414,,0,0
postcode,au-vic,3415,,0,0
postcode,au-vic,3416,,0,0
postcode,au-vic,3417,,0,0
postcode,au-vic,3418,,1,1
postcode,au-vic,3419,,0,0
postcode,au-vic,3420,,0,0
postcode,au-vic,3421,,0,0
postcode,au-vic,3422,,0,0
postcode,au-vic,3423,,0,0
postcode,au-vic,3424,,0,0
postcode,au-vic,3425,,0,0
postcode,au-vic,3427,,3,5
postcode,au-vic,3428,,0,0
postcode,au-vic,3429,,25,56
postcode,au-vic,3430,,0,0
postcode,au-vic,3431,,2,2
postcode,au-vic,3432,,0,0
postcode,au-vic,3433,,2,2
postcode,au-vic,3434,,2,3
postcode,au-vic,3435,,2,3
postcode,au-vic,3437,,5,7
postcode,au-vic,3438,,0,1
postcode,au-vic,3439,,0,0
postcode,au-vic,3440,,0,0
postcode,au-vic,3441,,0,3
postcode,au-vic,3442,,2,6
postcode,au-vic,3444,,1,9
postcode,au-vic,3446,,0,0
postcode,au-vic,3447,,1,1
postcode,au-vic,3448,,0,1
postcode,au-vic,3449,,0,0
postcode,au-vic,3450,,0,0
postcode,au-vic,3451,,1,1
postcode,au-vic,3452,,0,0
postcode,au-vic,3453,,1,1
postcode,au-vic,3456,,0,0
postcode,au-vic,3457,,0,0
postcode,au-vic,3458,,0,0
postcode,au-vic,3459,,0,0
postcode,au-vic,3460,,0,0
postcode,au-vic,3461,,0,1
postcode,au-vic,3462,,0,0
postcode,au-vic,3463,,1,1
postcode,au-vic,3464,,0,0
postcode,au-vic,3465,,0,0
postcode,au-vic,3467,,0,0
postcode,au-vic,3468,,0,0
postcode,au-vic,3469,,0,0
postcode,au-vic,3470,,0,0
postcode,au-vic,3471,,0,0
postcode,au-vic,3472,,0,0
postcode,au-vic,3475,,0,0
postcode,au-vic,3477,,0,0
postcode,au-vic,3478,,0,0
postcode,au-vic,3480,,0,0
postcode,au-vic,3482,,0,0
postcode,au-vic,3483,,0,0
postcode,au-vic,3484,,0,0
postcode,au-vic,3485,,0,0
postcode,au-vic,3487,,0,0
postcode,au-vic,3488,,0,0
postcode,au-vic,3489,,0,0
postcode,au-vic,3490,,0,0
postcode,au-vic,3491,,0,0
postcode,au-vic,3494,,0,0
postcode,au-vic,3495,,0,0
postcode,au-vic,3496,,0,0
postcode,au-vic,3498,,0,1
postcode,au-vic,3500,,0,0
postcode,au-vic,3501,,0,0
postcode,au-vic,3502,,0,0
postcode,au-vic,3505,,0,0
postcode,au-vic,3506,,0,0
postcode,au-vic,3507,,0,0
postcode,au-vic,3509,,0,0
postcode,au-vic,3510,,0,0
postcode,au-vic,3512,,0,0
postcode,au-vic,3515,,0,3
postcode,au-vic,3516,,0,0
postcode,au-vic,3517,,1,1
postcode,au-vic,3518,,1,1
postcode,au-vic,3520,,0,0
postcode,au-vic,3521,,0,0
postcode,au-vic,3522,,0,0
postcode,au-vic,3523,,2,3
postcode,au-vic,3525,,0,0
postcode,au-vic,3527,,0,0
postcode,au-vic,3529,,0,0
postcode,au-vic,3530,,0,0
postcode,au-vic,3531,,0,0
postcode,au-vic,3533,,0,0
postcode,au-vic,3536,,0,0
postcode,au-vic,3537,,0,0
postcode,au-vic,3538,,0,0
postcode,au-vic,3539,,0,0
postcode,au-vic,3540,,0,0
postcode,au-vic,3542,,0,0
postcode,au-vic,3543,,0,0
postcode,au-vic,3544,,0,0
postcode,au-vic,3546,,0,0
postcode,au-vic,3549,,1,1
postcode,au-vic,3550,,9,19
postcode,au-vic,3551,,2,5
postcode,au-vic,3552,,0,0
postcode,au-vic,3554,,0,0
postcode,au-vic,3555,,5,8
postcode,au-vic,3556,,0,0
postcode,au-vic,3557,,0,0
postcode,au-vic,3558,,0,0
postcode,au-vic,3559,,0,0
postcode,au-vic,3560,,0,0
postcode,au-vic,3561,,0,0
postcode,au-vic,3562,,0,0
postcode,au-vic,3563,,0,0
postcode,au-vic,3564,,1,1
postcode,au-vic,3565,,0,0
postcode,au-vic,3566,,0,0
postcode,au-vic,3567,,0,0
postcode,au-vic,3568,,0,0
postcode,au-vic,3569,,0,0
postcode,au-vic,3570,,0,0
postcode,au-vic,3571,,0,0
postcode,au-vic,3572,,0,0
postcode,au-vic,3573,,0,0
postcode,au-vic,3574,,0,0
postcode,au-vic,3575,,0,0
postcode,au-vic,3576,,0,0
postcode,au-vic,3578,,0,0
postcode,au-vic,3579,,0,0
postcode,au-vic,3580,,0,0
postcode,au-vic,3581,,0,0
postcode,au-vic,3583,,0,0
postcode,au-vic,3584,,0,0
postcode,au-vic,3585,,0,0
postcode,au-vic,3586,,0,0
postcode,au-vic,3587,,0,0
postcode,au-vic,3588,,0,0
postcode,au-vic,3589,,0,0
postcode,au-vic,3590,,0,0
postcode,au-vic,3591,,0,0
postcode,au-vic,3594,,1,1
postcode,au-vic,3595,,0,0
postcode,au-vic,3596,,0,0
postcode,au-vic,3597,,0,0
postcode,au-vic,3599,,0,0
postcode,au-vic,3605,,0,0
postcode,au-vic,3607,,0,0
postcode,au-vic,3608,,0,0
postcode,au-vic,3610,,0,0
postcode,au-vic,3612,,0,0
postcode,au-vic,3613,,0,0
postcode,au-vic,3614,,0,0
postcode,au-vic,3616,,0,0
postcode,au-vic,3617,,0,0
postcode,au-vic,3618,,0,0
postcode,au-vic,3619,,0,0
postcode,au-vic,3620,,0,0
postcode,au-vic,3621,,0,0
postcode,au-vic,3622,,0,0
postcode,au-vic,3623,,0,0
postcode,au-vic,3624,,0,0
postcode,au-vic,3629,,0,0
postcode,au-vic,3630,,0,0
postcode,au-vic,3631,,0,0
postcode,au-vic,3632,,1,1
postcode,au-vic,3633,,0,0
postcode,au-vic,3634,,0,0
postcode,au-vic,3635,,0,0
postcode,au-vic,3636,,0,0
postcode,au-vic,3637,,0,0
postcode,au-vic,3638,,0,0
postcode,au-vic,3639,,0,0
postcode,au-vic,3640,,0,0
postcode,au-vic,3641,,0,0
postcode,au-vic,3643,,0,0
postcode,au-vic,3644,,0,0
postcode,au-vic,3646,,0,0
postcode,au-vic,3647,,0,0
postcode,au-vic,3649,,0,0
postcode,au-vic,3655,,0,0
postcode,au-vic,3658,,1,5
postcode,au-vic,3659,,1,2
postcode,au-vic,3660,,0,0
postcode,au-vic,3661,,0,0
postcode,au-vic,3662,,0,0
postcode,au-vic,3663,,0,0
postcode,au-vic,3664,,0,0
postcode,au-vic,3665,,0,0
postcode,au-vic,3666,,0,0
postcode,au-vic,3669,,0,0
postcode,au-vic,3670,,0,0
postcode,au-vic,3671,,0,0
postcode,au-vic,3672,,0,0
postcode,au-vic,3673,,0,0
postcode,au-vic,3674,,0,0
postcode,au-vic,3675,,0,0
postcode,au-vic,3676,,0,0
postcode,au-vic,3677,,0,0
postcode,au-vic,3678,,0,0
postcode,au-vic,3682,,0,0
postcode,au-vic,3683,,0,0
postcode,au-vic,3685,,0,0
postcode,au-vic,3687,,0,0
postcode,au-vic,3688,,0,0
postcode,au-vic,3689,,0,0
postcode,au-vic,3690,,0,0
postcode,au-vic,3691,,1,1
postcode,au-vic,3693,,0,0
postcode,au-vic,3694,,0,0
postcode,au-vic,3695,,0,0
postcode,au-vic,3697,,0,0
postcode,au-vic,3698,,0,0
postcode,au-vic,3699,,0,0
postcode,au-vic,3700,,0,0
postcode,au-vic,3701,,0,0
postcode,au-vic,3702,,,0
postcode,au-vic,3703,,,0
postcode,au-vic,3704,,0,0
postcode,au-vic,3705,,0,0
postcode,au-vic,3707,,0,0
postcode,au-vic,3708,,0,0
postcode,au-vic,3709,,0,0
postcode,au-vic,3711,,0,0
postcode,au-vic,3712,,0,0
postcode,au-vic,3713,,0,0
postcode,au-vic,3714,,0,0
postcode,au-vic,3715,,0,0
postcode,au-vic,3717,,0,0
postcode,au-vic,3718,,0,0
postcode,au-vic,3719,,0,0
postcode,au-vic,3720,,0,0
postcode,au-vic,3721,,0,0
postcode,au-vic,3722,,0,0
postcode,au-vic,3723,,2,4
postcode,au-vic,3724,,0,0
postcode,au-vic,3725,,0,0
postcode,au-vic,3726,,0,0
postcode,au-vic,3727,,0,0
postcode,au-vic,3728,,0,0
postcode,au-vic,3730,,0,1
postcode,au-vic,3732,,0,0
postcode,au-vic,3733,,0,0
postcode,au-vic,3734,,0,0
postcode,au-vic,3735,,0,0
postcode,au-vic,3736,,0,0
postcode,au-vic,3737,,0,0
postcode,au-vic,3738,,0,0
postcode,au-vic,3739,,0,0
postcode,au-vic,3740,,0,0
postcode,au-vic,3741,,0,0
postcode,au-vic,3744,,0,0
postcode,au-vic,3746,,0,0
postcode,au-vic,3747,,0,0
postcode,au-vic,3749,,0,0
postcode,au-vic,3750,,48,50
postcode,au-vic,3751,,0,0
postcode,au-vic,3752,,44,46
postcode,au-vic,3753,,4,4
postcode,au-vic,3754,,39,59
postcode,au-vic,3755,,0,0
postcode,au-vic,3756,,10,16
postcode,au-vic,3757,,3,4
postcode,au-vic,3758,,2,2
postcode,au-vic,3759,,0,0
postcode,au-vic,3760,,0,0
postcode,au-vic,3761,,1,1
postcode,au-vic,3762,,0,0
postcode,au-vic,3763,,0,0
postcode,au-vic,3764,,4,6
postcode,au-vic,3765,,8,12
postcode,au-vic,3766,,0,1
postcode,au-vic,3767,,2,2
postcode,au-vic,3770,,1,1
postcode,au-vic,3775,,1,2
postcode,au-vic,3777,,4,6
postcode,au-vic,3778,,1,1
postcode,au-vic,3779,,0,0
postcode,au-vic,3780,,0,0
postcode,au-vic,3781,,1,1
postcode,au-vic,3782,,2,2
postcode,au-vic,3783,,0,0
postcode,au-vic,3785,,0,0
postcode,au-vic,3786,,0,0
postcode,au-vic,3787,,0,0
postcode,au-vic,3788,,0,0
postcode,au-vic,3789,,0,0
postcode,au-vic,3791,,1,1
postcode,au-vic,3792,,0,0
postcode,au-vic,3793,,0,0
postcode,au-vic,3795,,0,0
postcode,au-vic,3796,,1,2
postcode,au-vic,3797,,2,2
postcode,au-vic,3798,,0,0
postcode,au-vic,3799,,2,2
postcode,au-vic,3800,,0,0
postcode,au-vic,3801,,0,0
postcode,au-vic,3802,,27,42
postcode,au-vic,3803,,28,37
postcode,au-vic,3804,,2,2
postcode,au-vic,3805,,47,53
postcode,au-vic,3806,,20,20
postcode,au-vic,3807,,5,4
postcode,au-vic,3808,,0,0
postcode,au-vic,3809,,16,19
postcode,au-vic,3810,,10,32
postcode,au-vic,3812,,0,1
postcode,au-vic,3813,,0,0
postcode,au-vic,3814,,0,0
postcode,au-vic,3815,,0,0
postcode,au-vic,3816,,0,0
postcode,au-vic,3818,,1,1
postcode,au-vic,3820,,1,2
postcode,au-vic,3821,,1,1
postcode,au-vic,3822,,0,0
postcode,au-vic,3823,,0,2
postcode,au-vic,3824,,0,0
postcode,au-vic,3825,,0,0
postcode,au-vic,3826,,0,0
postcode,au-vic,3828,,0,0
postcode,au-vic,3830,,0,0
postcode,au-vic,3831,,0,0
postcode,au-vic,3832,,0,0
postcode,au-vic,3833,,0,0
postcode,au-vic,3835,,0,0
postcode,au-vic,3837,,0,0
postcode,au-vic,3838,,0,0
postcode,au-vic,3839,,0,0
postcode,au-vic,3840,,1,1
postcode,au-vic,3841,,0,0
postcode,au-vic,3842,,0,0
postcode,au-vic,3844,,5,14
postcode,au-vic,3845,,0,0
postcode,au-vic,3846,,0,0
postcode,au-vic,3847,,0,0
postcode,au-vic,3850,,0,0
postcode,au-vic,3851,,0,0
postcode,au-vic,3852,,0,0
postcode,au-vic,3853,,0,0
postcode,au-vic,3854,,0,0
postcode,au-vic,3855,,0,0
postcode,au-vic,3856,,0,0
postcode,au-vic,3857,,0,0
postcode,au-vic,3858,,0,0
postcode,au-vic,3859,,0,0
postcode,au-vic,3860,,0,0
postcode,au-vic,3861,,0,0
postcode,au-vic,3862,,0,0
postcode,au-vic,3863,,0,0
postcode,au-vic,3864,,0,0
postcode,au-vic,3865,,0,0
postcode,au-vic,3866,,0,0
postcode,au-vic,3869,,0,0
postcode,au-vic,3870,,0,0
postcode,au-vic,3871,,0,0
postcode,au-vic,3872,,0,0
postcode,au-vic,3873,,0,0
postcode,au-vic,3874,,0,0
postcode,au-vic,3875,,2,2
postcode,au-vic,3876,,0,0
postcode,au-vic,3878,,0,0
postcode,au-vic,3879,,0,0
postcode,au-vic,3880,,0,0
postcode,au-vic,3882,,0,0
postcode,au-vic,3884,,0,0
postcode,au-vic,3885,,0,0
postcode,au-vic,3886,,0,0
postcode,au-vic,3887,,0,0
postcode,au-vic,3888,,0,0
postcode,au-vic,3889,,0,0
postcode,au-vic,3890,,0,0
postcode,au-vic,3891,,0,0
postcode,au-vic,3892,,0,0
postcode,au-vic,3893,,0,0
postcode,au-vic,3895,,0,0
postcode,au-vic,3896,,0,0
postcode,au-vic,3898,,0,0
postcode,au-vic,3900,,0,0
postcode,au-vic,3902,,0,0
postcode,au-vic,3903,,0,0
postcode,au-vic,3904,,0,0
postcode,au-vic,3905,,0,0
postcode,au-vic,3908,,0,0
postcode,au-vic,3909,,0,0
postcode,au-vic,3910,,7,10
postcode,au-vic,3911,,0,0
postcode,au-vic,3912,,0,6
postcode,au-vic,3913,,0,0
postcode,au-vic,3915,,0,1
postcode,au-vic,3916,,0,0
postcode,au-vic,3918,,0,0
postcode,au-vic,3919,,2,0
postcode,au-vic,3920,,1,0
postcode,au-vic,3921,,0,0
postcode,au-vic,3922,,0,1
postcode,au-vic,3923,,0,0
postcode,au-vic,3925,,1,1
postcode,au-vic,3926,,0,0
postcode,au-vic,3927,,0,0
postcode,au-vic,3928,,1,1
postcode,au-vic,3929,,0,0
postcode,au-vic,3930,,2,1
postcode,au-vic,3931,,3,4
postcode,au-vic,3932,,0,0
postcode,au-vic,3933,,0,0
postcode,au-vic,3934,,2,3
postcode,au-vic,3935,,0,0
postcode,au-vic,3936,,1,2
postcode,au-vic,3937,,0,0
postcode,au-vic,3938,,0,0
postcode,au-vic,3939,,0,1
postcode,au-vic,3940,,2,2
postcode,au-vic,3941,,0,3
postcode,au-vic,3942,,0,0
postcode,au-vic,3943,,1,0
postcode,au-vic,3944,,0,0
postcode,au-vic,3945,,0,0
postcode,au-vic,3946,,0,0
postcode,au-vic,3950,,3,3
postcode,au-vic,3951,,0,0
postcode,au-vic,3953,,0,1
postcode,au-vic,3954,,0,0
postcode,au-vic,3956,,0,0
postcode,au-vic,3957,,0,0
postcode,au-vic,3958,,0,0
postcode,au-vic,3959,,0,0
postcode,au-vic,3960,,0,0
postcode,au-vic,3961,,0,0
postcode,au-vic,3962,,0,1
postcode,au-vic,3964,,0,0
postcode,au-vic,3965,,0,0
postcode,au-vic,3966,,0,0
postcode,au-vic,3967,,0,0
postcode,au-vic,3970,,0,0
postcode,au-vic,3971,,0,0
postcode,au-vic,3973,,0,0
postcode,au-vic,3974,,0,0
postcode,au-vic,3975,,11,14
postcode,au-vic,3976,,23,35
postcode,au-vic,3977,,54,82
postcode,au-vic,3978,,15,19
postcode,au-vic,3979,,0,0
postcode,au-vic,3980,,0,0
postcode,au-vic,3981,,0,0
postcode,au-vic,3984,,2,2
postcode,au-vic,3985,,0,0
postcode,au-vic,3986,,0,0
postcode,au-vic,3987,,0,0
postcode,au-vic,3988,,0,0
postcode,au-vic,3989,,0,0
postcode,au-vic,3990,,0,1
postcode,au-vic,3991,,0,0
postcode,au-vic,3992,,0,0
postcode,au-vic,3995,,2,0
postcode,au-vic,3996,,0,0
postcode,au-vic,3999,,134,
postcode,au-vic,other,,19,
postcode,au-vic,others,,,22
postcode,au-vic,unknown,,,216
