region_schema,region_parent,region_child,agerange,2020-03-28,2020-04-13,2020-04-14,2020-04-18,2020-04-22,2020-04-23,2020-04-24,2020-04-29,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
np_district,np-p3,np0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,28,,,9,,,,,8,,,,2,2,,,1,2,,,,,,,1,1,1,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,2,,,,,,2,1,2,1,2,1,2,8
np_district,np-p3,np0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,5,3,,,1,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,4,,,,,1,16,28,18,21,1,4,30,,,32,32,1,18,7
np_district,np-p3,np0335,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,2,,,,,2,21,6,,,,,4,1,1,5,,,,,,,,,,1,,,1,,,,,,,,,1,1,,,,,7,1,3,15,11,14,9,27,1,49,24,1,23,27,,,37
np_district,np-p4,np0436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,3,2,6,,,5,1,3,1,,,,7,3,2,2,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,2,1,,,,,,3,1,,,,1,2
np_district,np-p4,np0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,6,,,,,10,16,,,,11,1,1,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
np_district,np-p4,np0439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,38,1,,,,,,,,,,,,,,,,9,1,2,,,,,3,1,15,,,8,1,14,4,,,,,,,,,,,8,,,,5,,,3,2,,,3,1,5,8,2,1,1,11,3,,,,13,3,1,11,11,14,16,5,19,1,16,5,2,13
np_district,np-p4,np0440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,19,23,4,11,8,1,9,2,,,9,6,1,3,,,2,,,,,8,4,6,2,,,,,,,,,,,,1,,,,,3,1,,,,,,,,,,,2,2,1,22,2,6,2,2,4,2,,,,,6
np_district,np-p4,np0441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,10,33,22,7,1,1,26,,,4,8,2,50,1,1,,,,,,,1,1,,,,,,,1,3,3,1,,,,,,26,12,,,,1,4,17,,,7,,,1,6,,,1,,,1,,,1,1,,,
np_district,np-p4,np0442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,9,5,,,,,3,,,,,13,,,2,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p4,np0443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,20,23,,,9,2,1,8,29,14,1,3,1,50,3,1,6,1,,,2,3,2,2,,,,,,1,,,3,,,,,,,,6,,,,,,,,,,,,2,,,,,1,,,,,3,1,,,1
np_district,np-p4,np0444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
np_district,np-p4,np0447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,17,31,4,32,2,24,22,13,,,2,31,,,,,,,,,,,1,,,,,,11,17,3,,,,,,,,3,3,,,6,6,2,,,,,,,,,,2,,,,2,2,2,1,4,12,3,19,3,6,5,4
np_district,np-p5,np0546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,4,90,48,15,122,76,26,2,26,18,2,1,,,,,2,5,,,1,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,2,2,4
np_district,np-p5,np0547,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,5,,,12,5,6,2,1,2,,,,,1,1,23,5,,,,2,,,,,,1,,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,30,5,8
np_district,np-p5,np0548,,,,,,,,,,,,,,,,9,12,,,,,,,,,,,6,,,,,,,,,10,27,,,3,,,20,7,29,16,5,26,12,4,7,12,2,1,2,12,3,1,7,6,8,12,5,,,,1,4,2,,,,,,,,,,,,1,,,,,,,4,3,1,1,2,,,1,2,1,1,9,,,,,,4,33,6,12,14,2,62,32,14,52,18,17,23,28,6,69
np_district,np-p5,np0549,,,,,,,,,,,,,,,,8,9,1,,,,,,13,1,9,8,3,3,26,,,,109,9,47,16,69,29,44,50,,,10,48,2,4,25,,,,,17,4,,,,,,,,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,9,32,,,,1,18,1,21,5,32,2,2,19,6,30,2,15,11,9,23
np_district,np-p5,np0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,9,12,97,6,,,9,2,,,,18,6,38,7,1,2,50,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,1,1
np_district,np-p5,np0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,9,,,3,94,18,7,56,5,5,1,25,7,38,20,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,1,,,,2
np_district,np-p5,np0554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,2,3
np_district,np-p5,np0555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,8,,,4,2,,,3,,,,,,20,30,50,10,7,20,49,35,9,,,,,,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,1,6,1,2,,
np_district,np-p5,np0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,17,5,15,1,,,,6,,,8,2,54,43,56,8,4,,,10,13,19,76,1,75,31,34,58,21,2,4,8,,,,3,5,7,,,,,5,,,5,,,6,3,,,,5,1,,,,,3,,,,,,3,,,,5,9,1,2,1,11,7,2,1,3,4,4,,,,
np_district,np-p5,np0557,,,,,,,,,,,,,,,,,,,,,,59,,,2,14,27,,,8,16,1,10,,,7,17,,,,,,,9,3,13,1,18,3,5,1,1,3,,,1,,,,4,,,,,,11,,,5,1,,,,2,1,2,,,1,,,,,,2,3,3,,,2,2,31,3,,,1,,,,11,13,,,49,21,63,29,1,10,22,11,10,24,6,18,16,20,28,11,8,15
np_district,np-p5,np0558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,16,9,31,3,,,3,,,,6,,,,,,,1,,,,,,,,,,,,1,,,10,,,,,,,,2,6,,,,,,,,1,,,,,1,2,2,1,,,5,15,3,,,2,2,6,7,2,1,6
np_district,np-p6,np0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,,,,7,,,,2,2,,,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,3,,,18,
np_district,np-p6,np0653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,18,3,,,,,,12,,,,,,,,25,,,,,,,,,4,13,2,,,15,,,,,,,,,,1,,,,,2,1,1,1,3,2,2,1,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,1,,,,,
np_district,np-p6,np0659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,,,1,10,,,4,9,7,45,40,40,19,4,2,34,,,,,,14,13,12,7,,,,,,,,,,,14,18,11,3,11,41,1,28,3,,,,,,,,,,3,1,3,1,9,,,,,,,1,1,3,2,1,5,18,1,21,5,,,1,13,1,,,,,5
np_district,np-p6,np0660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
np_district,np-p6,np0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,60,9,7,105,90,47,,,,,48,38,30,29,93,5,2,87,,,,,,4,19,5,,,,,2,3,10,1,7,,,,3,2,,,2,6,3,6,,,,,10,16,24,8,3,25,28,1,,,2,,,,,,,,,,17,3,4,,,3,,,5,4,19,1,,,,
np_district,np-p6,np0663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,2,,
np_district,np-p6,np0664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,5
