region_schema,region_parent,region_child,agerange,2020-05-03,2020-05-06,2020-05-22,2020-06-10,2020-06-30,2020-07-02,2020-07-06,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-24
pt_municipality,pt,bragança,,,,,,135,,139,147,147,147,147,148,148,148,148,148,148,148,158,158,158,158,158,158,158,178,178,178,179,179,179,179,179,179,179,188,191
pt_municipality,pt,cabeceiras de basto,,,,,,21,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22
pt_municipality,pt,cadaval,,,,,,22,,24,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,41,41
pt_municipality,pt,caldas da rainha,,,,,,73,,79,116,116,116,116,122,122,122,122,122,122,122,127,127,127,127,127,127,127,139,139,139,143,143,143,143,143,143,143,143,144
pt_municipality,pt,calheta,,,,,,4,,4,4,4,4,4,3,3,3,3,3,3,3,3,,3,3,3,3,3,8,8,8,7,7,7,7,7,7,7,8,8
pt_municipality,pt,calheta (açores),,,,4,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pt_municipality,pt,caminha,,,,,,19,,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24
pt_municipality,pt,cantanhede,,,,,,74,,75,76,76,76,76,80,80,80,80,80,80,80,81,81,81,81,81,81,81,82,82,82,82,82,82,82,82,82,82,84,86
pt_municipality,pt,carrazeda de ansiães,,,,,,6,,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,carregal do sal,,,,,,13,,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
pt_municipality,pt,cartaxo,,,,,,85,,86,90,90,90,90,92,92,92,92,92,92,92,93,93,93,93,93,93,93,91,91,91,91,91,91,91,91,91,91,91,95
pt_municipality,pt,cascais,,,,,,952,,1061,1212,1212,1212,1212,1302,1302,1302,1302,1302,1302,1302,1382,1382,1382,1382,1382,1382,1382,1441,1441,1441,1478,1478,1478,1478,1478,1478,1478,1509,1543
pt_municipality,pt,castelo branco,,,,,,28,,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,35,35,35,35,35,35,35,36,36
pt_municipality,pt,castelo de paiva,,,,,,23,,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,33,37
pt_municipality,pt,castro daire,,,,,,107,,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,111,111
pt_municipality,pt,castro marim,,,,,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pt_municipality,pt,celorico da beira,,,,,,8,,8,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pt_municipality,pt,celorico de basto,,,,,,20,,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,24
pt_municipality,pt,chamusca,,,,,,8,,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,12,12,12,12,12,12,12,13,13
pt_municipality,pt,chaves,,,,,,26,,26,26,26,26,26,25,25,25,25,25,25,25,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,27,27,28,30
pt_municipality,pt,cinfães,,,,,,92,,92,128,128,128,128,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
pt_municipality,pt,coimbra,,,,,,613,,614,621,621,621,621,626,626,626,626,626,626,626,627,627,627,627,627,627,627,632,632,632,635,635,635,635,635,635,635,638,642
pt_municipality,pt,condeixa-a-nova,,,,,,155,,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
pt_municipality,pt,constância,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3
pt_municipality,pt,coruche,,,,,,51,,51,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,56,56,56,57,57,57,57,57,57,57,57,58
pt_municipality,pt,covilhã,,,,,,9,,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,crato,,,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
pt_municipality,pt,cuba,,,,,,4,,4,5,5,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6
pt_municipality,pt,câmara de lobos,,,,,,41,,41,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,43,44
pt_municipality,pt,elvas,,,,,,11,,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,23,23,23,23
pt_municipality,pt,entroncamento,,,,,,14,,15,16,16,16,16,18,18,18,18,18,18,18,27,27,27,27,27,27,27,33,33,33,45,45,45,45,45,45,45,49,55
pt_municipality,pt,espinho,,,,,,119,,119,121,121,121,121,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,124,124,124,124,124,124,124,124,125
pt_municipality,pt,esposende,,,,,,50,,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,58,62
pt_municipality,pt,estarreja,,,,,,107,,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,109,110
pt_municipality,pt,fafe,,,,,,125,,125,123,123,123,123,124,124,124,124,124,124,124,125,125,125,125,125,125,125,127,127,127,127,127,127,127,127,127,127,129,139
pt_municipality,pt,faro,,,,,,85,,85,106,106,106,106,118,118,118,118,118,118,118,127,127,127,127,127,127,127,135,135,135,141,141,141,141,141,141,141,149,156
pt_municipality,pt,felgueiras,,,,,,418,,420,422,422,422,422,426,426,426,426,426,426,426,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,429
pt_municipality,pt,ferreira do alentejo,,,,,,,,,,,,,4,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,6,6,6
pt_municipality,pt,ferreira do zêzere,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,9,9,9,10,10,10,10,10,10,10,10,10
pt_municipality,pt,figueira da foz,,,,,,41,,41,44,44,44,44,46,46,46,46,46,46,46,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,54
pt_municipality,pt,figueira de castelo rodrigo,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,4
pt_municipality,pt,figueiró dos vinhos,,,,,,16,,16,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
pt_municipality,pt,fornos de algodres,,,,,,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
pt_municipality,pt,freixo de espada à cinta,,,,,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pt_municipality,pt,funchal,,,,,,26,,26,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,34,34,34,40,40,40,40,40,40,40,46,50
pt_municipality,pt,fundão,,,,,,14,,19,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,21,21
pt_municipality,pt,gavião,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,9,9,9,9,9,9,9,9,9
pt_municipality,pt,golegã,,,,,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,9,9,9,9,9,9,9,10,11
pt_municipality,pt,gondomar,,,,,,1093,,1093,1097,1097,1097,1097,1102,1102,1102,1102,1102,1102,1102,1107,1107,1107,1107,1107,1107,1107,1110,1110,1110,1111,1111,1111,1111,1111,1111,1111,1116,1126
pt_municipality,pt,gouveia,,,,,,23,,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,25,25
pt_municipality,pt,grândola,,,,,,20,,21,24,24,24,24,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,26,26,29,29
pt_municipality,pt,guarda,,,,,,28,,28,58,58,58,58,63,63,63,63,63,63,63,64,64,64,64,64,64,64,66,66,66,69,69,69,69,69,69,69,69,70
pt_municipality,pt,guimarães,,,,,,725,,725,734,734,734,734,739,739,739,739,739,739,739,742,742,742,742,742,742,742,746,746,746,754,754,754,754,754,754,754,762,773
pt_municipality,pt,góis,,,,,,11,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12
pt_municipality,pt,horta,,,,,,6,,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8
pt_municipality,pt,idanha-a-nova,,,,,,,,,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,lagoa,,,,,,13,,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,18,18,18,21,21,21,21,21,21,21,22,26
pt_municipality,pt,lagoa (faro),,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_municipality,pt,lagos,,,,,,78,,86,95,95,95,95,101,101,101,101,101,101,101,102,102,102,102,102,102,102,103,103,103,118,118,118,118,118,118,118,126,128
pt_municipality,pt,lamego,,,,,,40,,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,44,45
pt_municipality,pt,leiria,,,,,,110,,117,131,131,131,131,139,139,139,139,139,139,139,148,148,148,148,148,148,148,151,151,151,156,156,156,156,156,156,156,165,187
pt_municipality,pt,lisboa,,,,,,3502,,3645,4084,4084,4084,4084,4240,4240,4240,4240,4240,4240,4240,4408,4408,4408,4408,4408,4408,4408,4562,4562,4562,4691,4691,4691,4691,4691,4691,4691,4822,4944
pt_municipality,pt,loulé,,,,,,78,,79,87,87,87,87,102,102,102,102,102,102,102,114,114,114,114,114,114,114,119,11,119,125,125,125,125,125,125,125,139,145
pt_municipality,pt,loures,,,,,,1827,,1910,2088,2088,2088,2088,2197,2197,2197,2197,2197,2197,2197,2284,2284,2284,2284,2284,2284,2284,2358,2358,2358,2413,2413,2413,2413,2413,2413,2413,2457,2503
pt_municipality,pt,lourinhã,,,,,,18,,18,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,30,30,30,32,32,32,32,32,32,32,37,41
pt_municipality,pt,lousada,,,,,,347,,347,349,349,349,349,351,351,351,351,351,351,351,351,351,351,351,351,351,351,356,356,356,358,358,358,358,358,358,358,366,371
pt_municipality,pt,lousã,,,,,,21,,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25
pt_municipality,pt,macedo de cavaleiros,,,,,,26,,28,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,53
pt_municipality,pt,machico,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8
pt_municipality,pt,madalena,,,,,,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
pt_municipality,pt,mafra,,,,,,223,,253,341,341,341,341,373,373,373,373,373,373,373,401,401,401,401,401,401,401,428,428,428,457,457,457,457,457,457,457,474,483
pt_municipality,pt,maia,,,,,,950,,950,946,946,946,946,957,957,957,957,957,957,957,963,963,963,963,963,963,963,970,970,970,974,974,974,974,974,974,974,985,991
pt_municipality,pt,mangualde,,,,,,78,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,79,78
pt_municipality,pt,manteigas,,,,,,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,marco de canaveses,,,,,,112,,112,114,114,114,114,117,117,117,117,117,117,117,118,118,118,118,118,118,118,118,118,118,119,119,119,119,119,119,119,122,124
pt_municipality,pt,marinha grande,,,,,,20,,20,28,28,28,28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33
pt_municipality,pt,matosinhos,,,,,,1292,,1292,1304,1304,1304,1304,1313,1313,1313,1313,1313,1313,1313,1316,1316,1316,1316,1316,1316,1316,1325,1325,1325,1332,1332,1332,1332,1332,1332,1332,1345,1352
pt_municipality,pt,mação,,,,,,5,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,12,12,12,19,19,19,19,19,19,19,22,23
pt_municipality,pt,mealhada,,,,,,18,,22,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,28,28
pt_municipality,pt,melgaço,,,,,,67,,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
pt_municipality,pt,mira,,,,,,6,,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,miranda do corvo,,,,,,17,,17,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,23
pt_municipality,pt,miranda do douro,,,,,,8,,8,44,44,44,44,54,54,54,54,54,54,54,56,56,56,56,56,56,56,59,59,59,61,61,61,61,61,61,61,63,63
pt_municipality,pt,mirandela,,,,,,21,,21,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
pt_municipality,pt,mogadouro,,,,,,5,,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12
pt_municipality,pt,moimenta da beira,,,,,,15,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
pt_municipality,pt,moita,,,,,,305,,318,365,365,365,365,406,406,406,406,406,406,406,431,431,431,431,431,431,431,443,443,443,457,457,457,457,457,457,457,476,481
pt_municipality,pt,monchique,,,,,,8,,12,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
pt_municipality,pt,mondim de basto,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,4,4
pt_municipality,pt,montalegre,,,,,,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
pt_municipality,pt,montemor-o-novo,,,,,,9,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,33,40
pt_municipality,pt,montemor-o-velho,,,,,,30,,30,30,30,30,30,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38
pt_municipality,pt,montijo,,,,,,163,,171,183,183,183,183,193,193,193,193,193,193,193,197,197,197,197,197,197,197,201,201,201,205,205,205,205,205,205,205,213,215
pt_municipality,pt,monção,,,,,,118,,118,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,113,113,113,114,114,114,114,114,114,114,115,116
pt_municipality,pt,mora,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,5,5,5,5,5,5,5,36,57
pt_municipality,pt,mortágua,,,,,,11,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12
pt_municipality,pt,moura,,,,,,71,,71,79,79,79,79,82,82,82,82,82,82,82,94,94,94,94,94,94,94,108,108,108,111,111,111,111,111,111,111,111,111
pt_municipality,pt,mourão,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pt_municipality,pt,murtosa,,,,,,20,,20,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24
pt_municipality,pt,murça,,,,,,20,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
pt_municipality,pt,nazaré,,,,,,6,,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,14
pt_municipality,pt,nelas,,,,,,22,,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
pt_municipality,pt,nordeste,,,,,,32,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,39
pt_municipality,pt,odemira,,,,,,15,,15,20,20,20,20,20,20,20,20,20,20,20,26,26,26,26,26,26,26,30,30,30,34,34,34,34,34,34,34,35,38
pt_municipality,pt,odivelas,,,,,,1101,,1183,1349,1349,1349,1349,1425,1425,1425,1425,1425,1425,1425,1512,1512,1512,1512,1512,1512,1512,1573,1573,1573,1613,1613,1613,1613,1613,1613,1613,1657,1749
pt_municipality,pt,oeiras,,,,,,795,,852,969,969,969,969,1030,1030,1030,1030,1030,1030,1030,1073,1073,1073,1073,1073,1073,1073,1104,1104,1104,1157,1157,1157,1157,1157,1157,1157,1208,1258
pt_municipality,pt,oleiros,,,,,,3,,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17
pt_municipality,pt,olhão,,,,,,19,,23,25,25,25,25,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,29
pt_municipality,pt,oliveira de azeméis,,,,,,218,,218,218,218,218,218,219,219,219,219,219,219,219,220,220,220,220,220,220,220,223,223,223,224,224,224,224,224,224,224,225,225
pt_municipality,pt,oliveira de frades,,,,,,12,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14
pt_municipality,pt,oliveira do bairro,,,,,,50,,53,74,74,74,74,79,79,79,79,79,79,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,81,82
pt_municipality,pt,oliveira do hospital,,,,,,28,,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
pt_municipality,pt,ourém,,,,,,58,,75,82,82,82,82,86,86,86,86,86,86,86,92,92,92,92,92,92,92,93,93,93,93,93,93,93,93,93,93,93,93
pt_municipality,pt,ovar,,,,,,690,,690,698,698,698,698,702,702,702,702,702,702,702,704,704,704,704,704,704,704,705,705,705,707,707,707,707,707,707,707,710,711
pt_municipality,pt,palmela,,,,,,64,,69,79,79,79,79,83,83,83,83,83,83,83,85,85,85,85,85,85,8,90,90,90,94,94,94,94,94,94,94,95,97
