region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06
lt_municipality,lt,telšių,,9,9,2,9,2,2,9,9,9,2,9,9,9,2,2,9,9,9,2,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,2,9,2,2,2,9,2,9,2,9,9,9,9,9,2,9,9,9,4,4,5,5,5,5,8,9,9,9,9,9,9,9,13,10,10,13,12,11,11,10
lt_municipality,lt,trakų,,5,5,5,5,5,9,5,5,5,9,7,7,7,8,8,8,8,8,9,7,10,7,10,11,7,7,18,7,7,15,10,16,17,17,18,10,20,20,10,10,10,10,18,12,15,15,15,17,22,15,15,21,16,16,21,20,20,22,17,23,17,19,21,21,21,19,22,19,22,21,21,21,20,21,21
lt_municipality,lt,ukmergės,,9,79,9,79,79,79,79,79,79,79,79,79,79,79,9,9,9,79,79,79,79,11,79,11,79,79,11,79,79,12,12,12,12,79,79,12,12,79,79,12,12,79,13,79,13,13,79,79,13,13,79,13,13,79,79,14,14,16,18,21,25,23,23,26,27,79,29,29,29,80,80,28,28,28,28
lt_municipality,lt,utenos,,6,2,6,6,6,2,6,2,2,2,8,0,8,8,8,8,8,8,0,8,8,0,8,0,0,0,8,8,8,8,8,8,8,8,8,0,8,0,8,8,8,1,8,1,8,1,1,1,1,2,2,2,2,8,2,2,8,8,2,2,8,9,9,9,3,9,3,3,2,10,3,10,10,10,5
lt_municipality,lt,varėnos,,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,2,0,0,2,2,0,2,0,0,2,0,0,0,0,0,2,0,3,0,3,0,1
lt_municipality,lt,vilkaviškio,,6,6,6,6,2,6,6,6,2,2,2,6,2,2,6,2,1,1,1,1,7,7,1,1,7,7,7,1,1,7,1,1,7,7,1,1,7,7,1,1,7,7,1,7,7,1,7,7,1,7,1,1,1,1,1,2,7,7,2,3,7,3,3,3,3,3,3,3,7,7,3,3,3,7,7
lt_municipality,lt,vilniaus,,254,254,134,44,392,45,145,254,148,397,263,40,150,408,409,264,410,410,416,165,418,42,418,271,43,44,206,213,223,274,274,43,293,44,45,277,278,280,436,281,374,282,43,374,43,284,402,47,48,49,389,287,532,287,52,408,565,571,53,571,483,59,292,521,542,61,293,598,293,71,646,665,618,293,86
lt_municipality,lt,visagino,,3,3,3,3,2,4,4,4,4,1,4,4,1,4,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,5,7,5,5,6,6,7,7,7,7,7,8,8,8,6,6,8,5,5,9,9,9,9,5,5,5,6,6,6,9,10,10,6,10,12
lt_municipality,lt,zarasų,,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,2,0,2,1,1,1,1,2,1,1,2,3,2,3,2,2,3,2,3,3,3,3,2,2,3,2,2,2,3,2,3,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,2,2,4
lt_municipality,lt,šakių,,4,4,5,5,3,3,3,3,5,5,3,3,5,3,3,3,5,3,2,6,6,6,6,1,1,1,7,7,3,7,7,7,7,3,7,4,4,7,7,6,6,7,6,6,7,4,4,9,4,4,9,9,4,9,11,11,2,11,11,2,11,11,3,11,11,11,5,5,11,5,5,11,6,11,6
lt_municipality,lt,šalčininkų,,13,3,13,4,2,3,3,15,5,15,7,8,15,15,10,10,11,11,16,16,10,17,9,8,8,19,21,5,23,5,23,5,23,5,24,6,24,24,6,24,24,6,24,24,24,24,24,25,6,6,5,6,26,26,8,27,27,7,7,28,7,28,7,28,7,28,7,7,3,3,32,32,32,32,2
lt_municipality,lt,šiaulių,,1,10,10,10,10,10,1,1,1,10,10,10,2,10,10,10,2,10,10,2,2,10,10,10,10,10,2,2,2,2,10,2,10,2,2,10,2,2,10,2,10,1,1,11,11,3,11,11,3,11,11,6,9,11,11,11,11,16,11,11,20,22,22,11,11,44,11,11,63,67,74,12,12,87,14
lt_municipality,lt,šilalės,,3,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,3,3,0,0,3,3,3,0,3,3,0,0,0,3,3,3,3,0,0,3,3,0,0,1,3,6,3,7,3,3,8,8,3,8,3,8,3,3,8,8,3,3,8,7,7,7,6,6,6,5,7,4,9,3,9,3
lt_municipality,lt,širvintų,,15,15,4,4,15,4,15,15,15,4,3,16,16,3,3,16,3,3,16,3,1,1,18,1,1,18,18,1,19,0,0,19,0,0,19,19,19,19,0,0,19,19,0,0,0,19,19,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,19,19,0,19,0,19,19,19,19,19,19,0
lt_municipality,lt,švenčionių,,0,11,11,11,0,0,11,11,11,11,11,0,11,0,11,0,0,0,0,0,0,11,11,11,0,0,11,11,0,11,11,0,3,5,6,7,11,11,20,23,11,25,11,27,11,30,30,30,11,31,32,11,32,32,11,11,11,13,16,16,16,33,33,17,31,20,20,29,20,27,24,24,25,24,29
