region_schema,region_parent,region_child,agerange,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
admin_1,ng,ng-de,,37,37,37,39,39,39,39,40,40,40,40,42,42,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46
admin_1,ng,ng-eb,,12,14,14,16,18,20,21,23,24,24,24,24,24,24,24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27
admin_1,ng,ng-ed,,62,68,68,68,68,72,72,72,77,77,77,79,79,81,82,83,84,87,90,93,93,96,96,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
admin_1,ng,ng-ek,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
admin_1,ng,ng-en,,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,21,21,21,21,21,21,21
admin_1,ng,ng-go,,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
admin_1,ng,ng-im,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11
admin_1,ng,ng-ji,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
admin_1,ng,ng-kd,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
admin_1,ng,ng-ke,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
admin_1,ng,ng-kn,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
admin_1,ng,ng-ko,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
admin_1,ng,ng-kt,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
admin_1,ng,ng-kw,,14,14,14,14,14,14,15,16,16,16,16,16,19,19,19,19,19,21,21,21,21,21,21,21,21,22,23,23,23,23,23,23,23,23,23,23,25,25,25,25,25
admin_1,ng,ng-la,,176,176,176,176,177,177,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,193,193,193,195,201,201,201,201,201,201,201,201,201,201,202,202,202,202,202
admin_1,ng,ng-na,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12
admin_1,ng,ng-ni,,7,7,7,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
admin_1,ng,ng-og,,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,26
admin_1,ng,ng-on,,21,21,21,22,22,22,22,22,22,22,22,22,23,24,24,25,25,25,27,27,27,27,28,28,28,28,28,28,28,28,28,29,30,30,30,30,31,31,31,31,31
admin_1,ng,ng-os,,10,10,10,10,10,10,10,10,10,10,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,16,16,16,16,16,16,16
admin_1,ng,ng-oy,,20,20,20,20,20,20,20,24,24,24,24,27,27,27,27,27,27,28,28,30,31,31,31,31,31,31,31,31,33,33,33,33,34,34,34,34,35,35,37,37,37
admin_1,ng,ng-pl,,16,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,22,23,24,24,24,24,24,25,25,25,29,29,29,29,29,29,29
admin_1,ng,ng-ri,,48,48,48,49,49,49,49,50,52,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,54,55,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57
admin_1,ng,ng-so,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
admin_1,ng,ng-ta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
admin_1,ng,ng-yo,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
admin_1,ng,ng-za,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
