region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-14,2020-07-15,2020-07-16,2020-07-17
admin_1,sn,darou mousty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,diakhao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,diamniadio,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9,0,,,,,,,,,-1,1,-1,,,,,,3,,,,,,,,,,-6,,,,,3,-3,2,,-1,-2,2,-1,-1,,,,0,0,,,,1,-1,,,,1,,,0,,,,
admin_1,sn,dioffior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,diouloulou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,gossas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,goudiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,0,-4,14,-12,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,guediawaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,3,,,,,0,,,,-1,-1,4,,,,0,,,,,,,,,-2,6,-7,3,,,1,6,-8,1,,,,,,,,,,0,7,-3,,-2,3,7,0,,-1,3,2,-3,7,,,,,4,,8,-5,-2,5,,,3,0,0,-1,4,,,-2,-1
admin_1,sn,guédiawaye,,,,,,,,,,,,,,,,,,,,,,,-1,1,0,-1,1,1,-2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,sn,joal fadiouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,,,,,,,,,
admin_1,sn,kanel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,kebemer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,kedougou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,keur massar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,-1,2,,,,,,,,,,-2,2,6,,-1,1,-2,2,,,,3,-3,0,,,,3,0,,,2,-3,0,,,,,-4,-1,5,,,0,-1
admin_1,sn,khombole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,1,2,,0,0,0,,,,-1,,,0,2,,,,
admin_1,sn,koungheul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,linguere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,mbacke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,7,,,,,1,0,2,0,2,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,
admin_1,sn,mbao,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,2,-3,4,-1,,,,,0,3,,,,-2,,,1,-2,,,,,8,-4,-3,0,,,-2,0,1,-2,,,,,,,,,,,3,-2,,1,2,-3,2,,,,-2,5,5,,,,4,5,,5,-2,-1,0,,,,,1,3,2,0,4,2,-6
admin_1,sn,mbour,,,,,,,,,,,,,,,,,,,,,,-2,-1,1,-1,0,1,-1,1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,,-1,1,,,,,,-4,,1,-1,5,-3
admin_1,sn,mekhe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,1,-1,,,,,
admin_1,sn,nioro du rip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,non déterminé,,,,,,,,,,,,,,0,0,2,1,-2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,sn,oussouye,,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,pikine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,1,-1,3,,,,,,,,,,,,,,,,,,,,,,,0,4,-3,,,,,0,2,0,,,,,,,,,,,,6,1,,,,,,1,,,,,,,,,,,,-1,2,-2,,-1,2,3,-3,,,1,-3,2,-1,,,,5,0,,,,0,,,,,-1,,,2,,,0,0
admin_1,sn,popenguine,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,1,-1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,sn,poponguine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,,,,1,,,,,,0,2,,,,,17,,-6,,,2,,,,-2,1,-1,,,5,,
admin_1,sn,pout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,17,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-6,,,,,,-1,,,,0,
admin_1,sn,ranerou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,richard toll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,sn,richard-toll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-1,,
admin_1,sn,rufisque,,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,3,-2,-1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,,,,-6,,,,,,,,,,,-3,1,,,,,,,,,,,,4,9,-11,,0,2,-2,0,,-1,1,6,1,-6,,,,1,1,,,0,2,-4,,,,,-3,-2,2,,,3,-6
admin_1,sn,saint louis,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,sn,sakal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,sangalkam,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,4,15,,,,,-5,-1,0,,,,,,,,,,,,,,,,,5,,,,-1,0,-2,2,,,,,,-1,,,,0,0,,,,,,,,-1,5,-3,3,1,,-1,-1,-1
admin_1,sn,sedhiou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,-21,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,sn-db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,0,0,,,1,0,3,,,,-1,1,,,,0,,,,,,,
admin_1,sn,sn-fk,,,,,,,,,,,,,,,,,,,,,,,-1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,5,-4,,,14,0,3,,,,,,,,,,,,,,,,
admin_1,sn,sn-kl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,5,,1,-2,6,-3,,,0,,,,,,,,
admin_1,sn,sn-lg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,5,,,-5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,
admin_1,sn,sn-mt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,12,0,0,,,,,,,,,,,,,,,,
admin_1,sn,sn-sl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,sn-tc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41,1,0,,,,,,,,,,,,,,,,
admin_1,sn,sn-th,,,,,,,,,,,,,,,,,,,,,,3,-3,1,-1,1,1,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,-7,0,3,,,,0,,,,,,,,,,,,,14,-3,,,,,,,,,,,,,0,0,,,,,,36,0,,,-4,9,,,39,4,0,,-3,-21,5,0,,,0,-1,12,-11,5,,,-4,-1
admin_1,sn,sn-zg,,,,,,,,,,,,,,,,,,,,,,-1,1,-1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,8,-8,,,7,6,4,,,4,-5,0,,,0,1,0,1,-1,,,-3,-1
admin_1,sn,sokone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,thiadiaye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
admin_1,sn,thilogne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
admin_1,sn,tivaoune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,,,-1,,,0,0,,,,,6,,,,-15,-4,,,,,,-5,,,,,
admin_1,sn,touba,,,,,,,,,,,10,,,0,,,0,,,,,0,0,1,-1,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,-1,,,,1,0,-3,2,9,,,-8,12,-10,16,-17,4,2,-7,3,2,-2,5,,,,,-17,-1,-2,0,,,-4,-2,0,3,,,,,,,,,,-2,-4,12,,9,-5,-2,2,6,-2,6,-7,-1,-3,,,,4,4,,7,-5,-1,2,,,3,-4,1,0,-2,,3,,
admin_1,sn,velingara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,8,-1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
admin_1,sn,yeumbeul,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,-1,,,,-3,6,,,,,,,,,,,,-2,2,-2,,,,-8,-1,,2,,,,,,,,0,0,,,,,,,,,,0,,,,,,
