region_schema,region_parent,region_child,agerange,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,us,us-ga,,2505,2589,2769,2922,3108,3324,3420,3464,3550,3779,3959,4069,4322,4326,4359,4681,4814,5056,5156,5269,5387,5393,5526,5634,5765,5835,5935,5987,5997,6015,6130,6259,6345,6438,6735,6790,6916,7027,7107,7235,7313,7411,7439,7475,7547,7666,7767,7852,7921,7946,8127,8334,8419,8557,8646,8662,8685,8746,8872,8974,9073,9181,9224,9248,9322,9454,9543,9663,9772,9837,9837,9953,10123,10313,10457,10605,10689,10711,10824,11051,11275,11500,11653,11743,11775,11919,12226,12500,12606,12937,13205,13259,13476,13685,14102,14346,14647,14961,15010,15047,15494,15922,16353,16752,17029,17091,17138,17544,17964,18303,18689,18995,19064,19124,19426,19788,20002,20282,20556,20628,20676,21031,21379,21581,21818,22028,22087,22133,22429,22664,22880,23125,23325,23369,23425,23717,23939
admin_1,us,us-hi,,44,44,44,45,45,45,48,51,52,55,56,63,67,67,68,68,68,69,69,70,72,72,73,73,73,74,74,81,81,81,81,81,81,81,81,82,82,82,82,82,83,84,84,84,84,83,83,83,83,83,83,83,83,83,83,83,83,84,84,84,85,86,87,89,91,91,92,95,95,96,96,97,99,104,105,109,109,110,111,111,113,116,116,118,118,118,119,119,122,123,125,125,125,128,133,137,138,139,140,150,150,151,154,155,156,161,163,165,167,173,177,179,194,199,201,208,214,225,231,237,239,242,260,267,267,277,279,283,288,303,317,317,337,377,396,419,419
admin_1,us,us-ia,,129,142,163,171,175,183,193,198,214,214,272,282,278,293,286,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-id,,131,132,135,141,143,148,151,151,151,157,158,162,168,168,169,169,172,173,175,178,178,200,200,201,203,205,206,206,207,207,210,214,212,212,213,213,213,213,215,221,223,225,225,225,225,231,234,238,240,242,242,247,251,253,255,257,260,260,260,262,262,265,265,266,266,270,275,275,278,279,283,283,293,298,300,303,309,312,312,322,330,340,350,355,359,369,387,396,411,432,449,468,477,500,510,526,554,570,583,600,621,656,674,697,709,723,741,750,783,808,835,850,856,874,886,906,931,954,968,988,999,1006,1037,1051,1068,1091,1103,1110,1129,1170,1200,1226,1233,1246,1256,1269,1285
admin_1,us,us-il,,3680,3680,4283,4283,4423,4454,4340,4314,4599,4776,4665,4877,4828,4699,4595,4672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-in,,,,,,,,,,,,,,,1515,1446,1493,,,,,,,,,,,4389,4389,4389,4389,,4389,4389,4389,4389,4389,4389,4389,4389,4389,5285,5285,5285,5285,5285,5285,5285,5285,5285,5285,5860,5902,5952,5999,6053,6091,6136,6179,6225,6261,6314,6349,6349,6419,6451,6481,6526,6589,6731,6755,6788,6819,6853,6883,6912,6944,6982,7003,7024,7065,7095,7139,7175,7216,7254,7285,7333,7365,7386,7458,7458,7527,7574,7633,7686,7747,7814,7861,7895,7941,7941,8020,8066,8128,8180,8401,8444,8505,8587,8667,8727,8781,8848,9004,9148,9148,9267,9354,9354,9354,9354,9599,9678,9678,9801,9872,9935,9973,10037,10090,10145,10132,10219,10281,10343,10417,10605
admin_1,us,us-ks,,298,309,327,342,359,375,383,390,405,419,432,442,457,474,485,496,504,515,523,534,541,547,553,566,571,587,608,635,657,660,660,704,704,724,724,724,740,740,760,760,787,787,787,800,800,822,822,842,842,842,842,862,890,890,917,917,917,936,936,954,954,973,973,973,988,988,1011,1011,1035,1035,1035,1056,1056,1082,1082,1128,1128,1128,1152,1152,1152,1195,1219,1219,1219,1235,1235,1269,1269,1304,1304,1304,1343,1343,1393,1393,1453,1453,1453,1497,1497,1545,1545,1596,1596,1596,1644,1644,1700,1700,1751,1751,1751,1782,1782,1821,1821,1875,1875,1875,1911,1911,1975,1975,2020,2020,2020,2034,2034,2090,2090,2159,2159,2159,2183,2183,2226
admin_1,us,us-ky,,459,667,673,687,807,971,1008,1059,1059,1059,1076,1105,1143,1143,1266,1274,1281,1331,1359,1375,1411,1411,1519,1529,1603,1616,1684,1696,1757,1757,1767,1825,1835,1887,1896,1896,1896,1980,2010,2016,2041,2076,2131,2131,2131,2136,2142,2180,2266,2272,2274,2307,2317,2332,2345,2361,2361,2368,2386,2396,2406,2406,2433,2433,2433,2436,2455,2482,2494,2522,2522,2532,2556,2574,2584,2589,2589,2590,2602,2621,2635,2662,2685,2685,2685,2699,2708,2737,2747,2763,2779,2779,2791,2802,2823,2842,2864,2875,2875,2882,2900,2914,2921,3248,3266,3266,3276,3279,3281,3304,3314,3782,3782,3815,3851,3903,3924,3975,4002,4002,4024,4063,4091,4116,4158,4193,4193,4215,4252,4301,4349,4362,4362,4362,4399,4446,4446
admin_1,us,us-la,,2084,2134,1977,1943,1914,1868,1761,1748,1794,1798,1747,1727,1697,1700,1701,1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-ma,,2235,2340,2340,3454,3454,3729,3729,3729,3729,3872,3977,4493,4752,4965,5104,5237,5515,5758,5942,6169,6378,6507,6622,6831,7080,7237,7434,7551,7617,7732,7842,8032,8032,8314,8456,8539,8539,8766,8897,9040,9162,9260,9308,9339,9388,9388,9618,9725,9789,9823,9823,10063,10151,10238,10303,10369,10393,10425,10507,10582,10654,10726,10772,10802,10817,10867,10925,10985,11036,11076,11085,11094,11157,11219,11252,11291,11310,11319,11345,11337,11352,11392,11436,11461,11463,11469,11489,11517,11559,11582,11600,11608,11611,11625,11651,11663,11691,11709,11717,11722,11746,11761,11761,11770,11813,11828,11833,11855,11855,11893,11908,11908,11936,11942,11973,11993,12007,12022,12044,12054,12062,12089,12089,12131,12150,12170,12173,12178,12192,12213,12225,12245,12256,12256,12268,12279,12299
admin_1,us,us-md,,1860,1975,2122,2231,2451,2612,2757,2886,3014,3158,3325,3477,3618,3760,3962,4101,4268,4402,4559,4718,4910,5051,5199,5337,5497,5663,5811,5932,5955,6183,6287,6404,6553,6679,6755,6993,7086,7199,7393,7485,7634,7825,7939,8092,8179,8281,8392,8479,8619,8738,8886,8957,9111,9217,9346,9451,9546,9629,9676,9755,9789,9923,10053,10165,10222,10262,10309,10357,10447,10497,10544,10572,10611,10648,10683,10725,10751,10793,10822,10844,10902,10939,10973,11034,11071,11096,11111,11184,11221,11300,11353,11420,11467,11485,11625,11687,11728,11788,11841,11897,11949,11997,12037,12119,12188,12283,12339,12389,12448,12500,12593,12672,12746,12832,12888,12922,12978,13047,13105,13177,13247,13266,13348,13463,13508,13556,13614,13658,13698,13744,13785,13823,13864,13956,14007,14051,14090
admin_1,us,us-me,,120,124,124,126,130,133,136,136,138,139,144,150,152,156,159,161,163,166,170,177,181,183,186,187,191,192,194,198,199,200,202,204,207,211,214,216,223,225,231,235,240,243,252,257,258,260,264,270,272,283,284,287,285,291,293,296,298,301,302,303,308,308,313,314,317,321,323,323,328,333,336,336,339,339,343,343,345,346,347,348,351,354,358,358,359,359,360,363,365,366,368,371,372,373,373,374,375,375,375,375,377,377,378,378,379,381,383,384,385,386,388,388,388,389,388,390,390,393,393,393,393,394,394,395,399,399,400,399,401,403,405,407,407,408,409,410,412
admin_1,us,us-mi,,3636,3986,3910,3918,3809,3674,3634,3403,3374,3357,3305,3611,3022,2889,2757,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-mn,,361,361,405,445,475,518,561,574,602,629,660,712,756,797,829,861,912,950,1044,1096,1159,1199,1271,1350,1405,1459,1549,1612,1657,1716,1799,1851,1915,1985,2039,2090,2128,2221,2308,2380,2432,2534,2588,2676,2709,2796,2880,2936,3011,3047,3086,3134,3203,3253,3289,3336,3367,3401,3441,3482,3522,3557,3581,3610,3630,3658,3689,3718,3748,3767,3797,3830,3860,3897,3943,3966,3986,4010,4031,4054,4081,4112,4139,4139,4170,4219,4252,4272,4305,4329,4366,4399,4424,4452,4495,4526,4563,4602,4627,4678,4723,4771,4818,4852,4889,4920,4961,5028,5077,5112,5155,5208,5241,5298,5346,5373,5421,5458,5506,5555,5606,5661,5711,5742,5783,5822,5851,5886,5932,5988,6019,6064,6113,6151,6195,6238,6274
admin_1,us,us-mo,,988,988,1041,1024,1043,1043,875,875,873,1001,1001,884,877,850,679,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-ms,,548,549,596,645,682,736,782,808,819,858,910,946,970,996,1001,1060,1088,1126,1175,1226,1265,1298,1316,1352,1392,1442,1478,1512,1531,1546,1582,1616,1667,1712,1748,1773,1805,1840,1901,1932,1966,1996,2023,2046,2070,2106,2147,2208,2240,2272,2296,2296,2340,2340,2475,2475,2522,2535,2535,2614,2614,2643,2644,2665,2680,2728,2767,2767,2767,2767,2767,2881,2915,2946,2998,3044,3078,3102,3115,3156,3177,3208,3208,3268,3268,3280,3315,3365,3414,3455,3495,3495,3530,3585,3629,3675,3712,3727,3727,3766,3797,3844,3878,3923,3982,3982,4032,4103,4152,4213,4276,4314,4314,4380,4424,4472,4511,4577,4606,4606,4680,4738,4794,4847,4873,4916,4916,4989,5025,5063,5097,5127,5149,5149,5179,5208,5234
admin_1,us,us-mt,,47,47,50,51,52,54,55,55,57,59,59,59,59,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,63,63,63,63,63,63,64,65,65,65,65,65,65,65,65,66,66,67,67,67,67,67,68,68,68,68,69,69,72,74,74,77,77,77,78,79,78,81,82,85,89,90,91,93,93,95,95,97,100,101,105,106,109,112,112,112,117,117,120,123,127,128,133,136,145,150,159,164,165,167,174,179,183,191,195,199,201,205,211,221,230,230,233,236,238,248,259,264,268,272,273,276,301,315,319,324,326,330,339,348,357,363,378,379,383,394,402
admin_1,us,us-nc,,331,313,418,431,452,429,388,465,373,427,434,486,477,456,451,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-nd,,39,40,42,44,45,47,47,51,53,54,62,65,67,70,71,77,79,82,85,86,90,90,94,95,97,102,104,110,110,115,122,127,129,130,130,130,133,135,142,144,147,150,152,154,156,161,161,164,165,167,169,170,172,175,180,182,183,184,189,193,193,197,197,197,197,200,201,208,210,213,216,218,218,219,222,222,225,226,227,231,234,234,237,241,242,245,248,252,257,260,263,271,277,280,284,285,290,295,302,305,309,317,322,325,328,333,337,343,351,356,364,371,371,379,389,394,400,408,414,415,417,430,440,445,455,457,459,461,469,478,478,491,499,501,505,519,525
admin_1,us,us-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,902,905,919,928,935,967,989,1000,1029,1067,1070,1075,1088,1116,1141,1166,1200,1212,1212,1234,1257,1268,1294,1312,1315,1316,1330,1330,1343,1353,1365,1368,1369,1369,1398,1405,1419,1419,1421,1421,1431,1442,1453,1453,1480,1481,1482,1502,1508,1522,1548,1548,1567,1570,1587,1606,1610,1610,1622,1629,1630,1644,1644,1681,1688,1704,1715,1722,1741,1880,1880,1880,1880,1883,1883,1883,1835,1851,1877,1891,1907,1910,1930,1946
admin_1,us,us-nh,,146,152,152,178,178,190,190,192,198,206,206,213,224,224,238,242,246,249,259,262,270,277,286,286,295,307,308,309,313,318,318,319,326,335,335,347,359,368,383,385,393,419,419,419,420,421,426,438,440,449,451,456,462,468,472,487,487,489,492,496,500,504,503,513,519,519,521,531,533,549,551,553,558,558,558,561,561,562,565,565,565,565,567,569,569,570,574,577,578,581,585,589,589,589,665,668,670,670,673,673,673,677,680,681,686,688,688,690,690,690,692,695,695,696,697,698,698,699,700,701,704,705,705,705,705,706,708,709,712,712,710,710,710,711,712,713,713
admin_1,us,us-nj,,7604,7781,8185,8270,8224,8011,7718,7494,6986,7594,7210,7240,6847,6722,6573,6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16373,16597,16778,16960,17121,17197,17222,17390,17390,17604,17880,18023,18050,18050,18069,18223,18492,18607,18707,18737,18755,18879,19010,19010,19267,19267,19267,19401,19512,19598,19668,19752,19823,19841,19847,19847,20054,20141,20214,20233,20237,20237,20246,20426,20505,20567,20632,20632,20632,20632,20774,20774,21003,21064,21064,21058,21099,21184,21184,21184,21314,21314,21321,21321,21321,21565,21565,21565,21565,21565,21565,21565,21565,21949,21949,21992,21992,22052,22096,22125,22161,22197,22206,22218,22259,22311,22359,22393,22445,22448,22452,22468,22509
admin_1,us,us-nm,,78,80,181,181,215,230,242,258,274,291,306,331,412,412,412,412,481,509,536,536,587,587,587,667,687,687,760,789,789,789,886,886,886,886,886,886,886,886,1139,1139,1139,1139,1139,1243,1264,1282,1282,1317,1317,1317,1317,1317,1416,1416,1416,1489,1489,1533,1558,1583,1583,1625,1625,1625,1625,1686,1698,1715,1726,1735,1746,1746,1754,1776,1793,1811,1828,1851,1865,1876,1902,1928,1945,1970,1988,2006,2033,2056,2101,2137,2161,2187,2204,2227,2261,2284,2312,2337,2364,2387,2399,2433,2470,2500,2525,2542,2560,2590,2614,2667,2667,2686,2703,2720,2730,2753,2781,2803,2819,2838,2851,2870,2897,2907,2928,2946,2957,2965,2984,3002,3009,3009,3018,3030,3031,3041,3050
admin_1,us,us-nv,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-ny,,42594,42712,46201,46201,50450,52424,54339,55723,57103,57103,57103,57103,57103,57103,57103,57103,64275,65397,66369,67180,67890,68736,69331,69867,70539,71152,71679,72255,72715,73143,73143,73963,74433,74751,75163,75525,75870,76168,76410,76608,76843,77034,77295,77525,77637,77838,78043,89194,89400,89590,89703,89861,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995,89995
admin_1,us,us-oh,,1948,2033,2156,2237,2331,2424,2519,2565,2653,2779,2882,2960,3053,3115,3178,3232,3340,3421,3533,3634,3712,3769,3809,3956,4052,4140,4218,4300,4351,4413,4539,4618,4718,4791,4870,4921,4998,5117,5198,5295,5379,5437,5476,5511,5579,5700,5811,5947,6011,6049,6112,6176,6251,6312,6385,6460,6497,6550,6620,6693,6753,6814,6864,6895,6948,7007,7051,7104,7167,7201,7242,7292,7379,7447,7502,7570,7624,7681,7746,7839,7911,7911,8084,8111,8172,8249,8383,8489,8570,8701,8770,8842,8915,9049,9209,9324,9445,9513,9555,9610,9736,9864,9968,10072,10145,10199,10285,10425,10553,10678,10790,10857,10900,10992,11119,11231,11366,11447,11516,11565,11629,11760,11901,12023,12128,12210,12236,12319,12436,12529,12615,12719,12778,12800,12859,12956,13043
admin_1,us,us-ok,,446,457,488,510,528,528,541,541,541,561,588,622,637,637,653,656,656,693,703,715,743,743,753,773,773,805,805,822,826,828,828,848,858,863,878,880,885,897,905,917,926,926,938,938,941,941,975,982,982,985,986,994,1003,1014,1014,1026,1026,1039,1061,1075,1092,1103,1111,1116,1117,1130,1146,1146,1209,1229,1243,1268,1288,1319,1336,1393,1440,1456,1489,1520,1553,1615,1661,1676,1685,1689,1741,1804,1893,1949,1992,2032,2063,2116,2170,2218,2289,2375,2388,2403,2403,2540,2596,2687,2768,2835,2872,2987,3041,3104,3161,3228,3241,3275,3375,3445,3497,3555,3594,3605,3625,3760,3842,3901,3953,3998,4013,4021,4115,4192,4268,4316,4368,4422,4431,4527,4609
admin_1,us,us-or,,359,369,381,401,414,427,449,456,465,471,488,512,520,536,546,554,554,569,578,591,595,598,608,622,641,645,659,662,670,673,673,678,685,691,699,703,708,714,723,732,737,740,742,747,752,759,768,771,778,786,790,795,800,812,819,819,819,843,851,857,864,875,875,875,875,912,929,933,946,946,946,969,983,1006,1012,1022,1022,1022,1025,1038,1055,1069,1069,1069,1069,1125,1141,1155,1162,1180,1180,1180,1234,1254,1254,1311,1327,1327,1327,1387,1406,1433,1465,1474,1474,1474,1514,1537,1568,1587,1607,1607,1607,1655,1688,1726,1743,1758,1758,1758,1798,1813,1845,1853,1863,1863,1863,1913,1929,1958,1979,1984,1984,1984,2028,2038,2063
