region_schema,region_parent,region_child,agerange,2020-08-30,2020-08-31,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-09
lga,au-vic,greater shepparton,,0,0,0,-1,0,0,0,1,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
lga,au-vic,hepburn,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,hindmarsh,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,hobsons bay,,3,1,7,3,1,5,6,11,1,4,4,1,0,6,0,3,0,0,1,3,0,0,0,-1,3,-1,0,0,0,0,1,1,0,2
lga,au-vic,horsham,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,hume,,5,8,5,4,6,-1,4,-1,6,3,4,5,2,3,2,2,-1,0,-1,1,3,1,2,-1,0,-4,0,1,-1,-2,2,0,0,1
lga,au-vic,indigo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,kingston,,-3,1,1,1,2,2,1,0,0,-3,0,2,1,2,1,0,1,0,-5,0,-1,-1,1,-1,0,0,1,0,0,-1,0,0,-1,0
lga,au-vic,knox,,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,latrobe,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,loddon,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lga,au-vic,macedon ranges,,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,manningham,,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,1,-2,1,-2,0,2,-1,-4,1,0,0,0,0,0,0,0,0,0,0
lga,au-vic,mansfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,maribyrnong,,0,-1,-2,0,1,1,1,-3,0,2,0,1,2,2,-1,8,2,1,0,2,0,1,-3,-1,0,0,2,0,0,0,0,-1,0,0
lga,au-vic,maroondah,,-1,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,melbourne,,-1,3,4,3,0,-1,3,2,2,-3,-1,1,-1,-1,-2,4,-5,0,-2,1,-1,0,5,-1,-1,0,1,0,-1,-1,0,1,-1,-1
lga,au-vic,melton,,11,-1,3,7,3,4,3,0,2,3,3,4,3,1,6,-4,-2,0,-1,3,2,1,-6,1,0,0,0,1,1,1,0,0,0,0
lga,au-vic,mildura,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
lga,au-vic,mitchell,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,1,0,1,0,1
lga,au-vic,moira,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,monash,,2,0,4,1,0,2,1,3,0,1,0,1,1,0,-1,0,-1,0,1,1,-1,1,5,0,0,0,2,1,2,4,0,0,0,0
lga,au-vic,moonee valley,,-1,-1,3,4,4,0,10,0,-2,3,1,-2,8,3,-1,-2,6,0,0,3,2,2,-5,5,0,1,0,0,0,0,0,1,1,2
lga,au-vic,moorabool,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,moreland,,1,4,1,2,1,2,2,4,0,0,1,-1,5,7,-1,0,2,0,-1,1,5,0,9,-4,-1,0,0,1,0,1,0,1,0,0
lga,au-vic,mornington peninsula,,6,4,0,-2,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,-1,0,0,0,0,0,4,0,0,0,0,0
lga,au-vic,mount alexander,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,moyne,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,murrindindi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,nillumbik,,0,0,1,-1,0,0,1,-3,0,0,0,1,0,0,0,1,0,0,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,northern grampians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,other,,7,7,-2,1,-2,0,-12,4,-3,0,-1,6,1,-2,-1,-3,21,-4,4,2,0,2,-1,0,0,1,0,2,-2,0,0,1,-1,0
lga,au-vic,port phillip,,1,3,4,2,-3,3,2,0,2,0,0,0,1,0,0,1,1,0,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1
lga,au-vic,pyrenees,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,queenscliffe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,south gippsland,,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,southern grampians,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,stonnington,,1,0,-1,3,2,-1,3,2,2,0,0,-1,0,0,0,-3,-1,0,-4,1,1,0,6,0,0,0,-1,0,0,0,0,0,0,0
lga,au-vic,strathbogie,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,surf coast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,swan hill,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,towong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,wangaratta,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,warrnambool,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,wellington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,west wimmera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,whitehorse,,0,0,0,2,0,-1,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
lga,au-vic,whittlesea,,1,2,5,1,-1,-2,4,5,-1,2,0,1,2,0,0,-2,-2,1,-3,-1,1,0,-1,-1,1,5,0,0,1,0,0,0,-1,0
lga,au-vic,wodonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,wyndham,,16,6,5,9,3,2,15,4,5,6,7,5,1,-1,7,17,2,0,8,-1,6,2,9,8,5,1,0,1,1,1,0,2,0,-1
lga,au-vic,yarra,,3,1,1,1,1,1,0,3,0,-2,0,0,0,0,0,-3,0,-1,0,0,0,0,-3,5,2,-1,1,0,0,1,0,-1,0,-1
lga,au-vic,yarra ranges,,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,1,0,0,0,2,0,-1,0,0,0,0,1,-1,0,0,0
lga,au-vic,yarriambiack,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3000,,1,-1,0,0,-1,0,0,1,0,0,0,1,0,0,-3,-2,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3002,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3003,,0,0,1,0,0,0,-1,0,0,0,0,-1,0,1,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3004,,1,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
postcode,au-vic,3005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3006,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3008,,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3011,,1,-3,-1,0,3,1,-1,-1,-1,0,0,-1,1,0,0,-1,1,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3012,,1,-1,0,0,-1,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0
postcode,au-vic,3013,,-1,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,-1,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
postcode,au-vic,3015,,0,0,2,0,0,1,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
postcode,au-vic,3016,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3018,,0,0,0,0,0,-1,2,0,0,1,1,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3019,,0,1,1,1,0,0,1,0,1,1,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-1,0,0
postcode,au-vic,3020,,1,0,3,1,1,15,5,0,6,0,1,-1,0,-1,1,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
postcode,au-vic,3021,,0,0,2,5,1,2,4,0,0,-2,0,1,2,0,1,2,1,-2,3,0,0,0,0,1,0,1,0,0,0,0,0,2,-1,0
postcode,au-vic,3022,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
postcode,au-vic,3023,,3,1,2,2,1,0,0,1,1,3,2,0,4,2,4,3,-1,1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
postcode,au-vic,3024,,1,1,0,2,0,0,2,1,0,2,1,2,0,-1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-1,1,0
postcode,au-vic,3025,,1,2,6,2,1,4,7,8,1,1,1,-1,-2,5,1,4,2,0,2,2,-1,0,2,0,0,0,0,0,0,0,1,1,0,1
postcode,au-vic,3026,,0,0,0,0,-1,0,1,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
postcode,au-vic,3027,,0,1,0,0,0,-2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0
postcode,au-vic,3028,,1,0,0,-1,0,0,0,0,0,1,0,0,1,2,-1,-3,-3,0,2,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
postcode,au-vic,3029,,4,2,5,2,3,3,10,0,5,0,2,2,2,0,6,7,1,-3,0,0,4,1,0,4,1,0,1,0,0,1,-1,0,0,0
postcode,au-vic,3030,,7,2,-1,7,-2,1,4,1,1,5,3,0,1,0,4,2,0,3,-3,1,2,0,-1,1,4,1,-1,1,0,-1,1,0,0,-1
postcode,au-vic,3031,,-1,0,2,0,-1,0,0,0,-1,1,0,0,0,0,-1,0,-1,0,0,0,2,0,-2,0,0,1,0,0,0,0,0,0,-1,0
postcode,au-vic,3032,,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3033,,0,0,0,1,2,0,5,0,0,1,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3034,,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
postcode,au-vic,3036,,0,0,0,0,0,1,-2,1,0,1,0,0,1,0,-1,0,1,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3037,,3,0,-3,0,1,0,-2,-1,0,0,0,0,1,1,2,0,0,-1,0,0,1,-1,1,3,0,0,0,0,2,0,0,0,-1,0
postcode,au-vic,3038,,0,0,0,1,0,0,0,0,1,1,1,-1,4,1,1,10,-1,2,1,5,0,2,0,-1,1,0,0,0,0,0,0,0,1,0
postcode,au-vic,3039,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3040,,0,0,0,2,0,0,1,0,1,1,1,-2,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3041,,0,0,1,0,0,0,3,0,0,-1,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3042,,0,0,1,1,0,-1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3043,,0,0,1,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3044,,-1,3,3,-1,0,-1,1,1,-1,0,0,-2,0,-1,1,0,2,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0
postcode,au-vic,3045,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3046,,0,1,-1,2,0,1,5,-2,1,0,0,-1,1,4,1,0,1,0,0,0,1,0,0,-1,1,0,0,1,-1,1,0,0,0,0
postcode,au-vic,3047,,0,0,-1,0,1,0,-2,0,0,0,0,1,1,1,2,-1,-3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
postcode,au-vic,3048,,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
postcode,au-vic,3049,,2,-1,0,0,1,0,0,0,-1,1,0,1,0,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
postcode,au-vic,3050,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3051,,-2,-1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3052,,-2,5,0,3,1,-1,-1,2,0,-1,-1,1,0,-2,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0
postcode,au-vic,3053,,-1,1,0,0,0,0,-1,-1,0,0,-1,0,1,0,0,2,-1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
postcode,au-vic,3054,,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3055,,0,0,-1,0,0,0,2,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3056,,0,1,0,1,1,0,-2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3057,,0,0,0,0,1,0,0,0,0,0,0,-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3058,,1,0,1,1,0,0,3,1,1,-1,1,0,1,3,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
postcode,au-vic,3059,,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3060,,0,0,-1,0,2,1,-1,0,0,-1,0,0,1,0,1,1,-2,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
postcode,au-vic,3061,,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3062,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3063,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3064,,0,5,1,0,2,1,2,2,5,2,1,4,1,1,-1,3,3,-2,3,0,-2,1,0,2,0,1,1,0,0,0,0,0,0,1
postcode,au-vic,3065,,1,0,1,-1,1,2,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3066,,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
postcode,au-vic,3067,,0,0,0,-1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
postcode,au-vic,3068,,0,0,-1,1,-1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
postcode,au-vic,3070,,1,0,-1,1,0,-1,-1,1,1,0,0,0,0,-2,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3071,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
postcode,au-vic,3072,,0,1,0,-1,0,0,-2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0
postcode,au-vic,3073,,1,0,3,7,1,-1,1,0,0,0,0,0,0,0,2,0,1,1,3,2,0,-1,0,0,-1,-1,0,0,0,0,0,1,0,0
postcode,au-vic,3074,,1,-1,1,0,0,1,-1,0,1,0,0,0,1,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3075,,0,0,1,0,0,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
postcode,au-vic,3076,,0,0,0,-1,0,-2,0,0,-1,2,0,0,-1,-1,0,0,0,0,0,0,2,0,0,0,1,-1,0,0,0,0,0,0,0,0
postcode,au-vic,3078,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3079,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3081,,2,0,0,-1,0,-1,7,0,-1,0,0,-1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
postcode,au-vic,3082,,0,0,1,0,0,0,0,1,0,-1,1,0,0,1,0,0,0,0,-4,0,-1,0,0,-1,0,1,0,0,1,0,0,0,-1,0
postcode,au-vic,3083,,2,0,0,0,1,-1,1,0,0,0,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3084,,0,1,-1,0,0,1,-7,1,0,0,0,1,0,0,0,0,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3085,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3086,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
postcode,au-vic,3087,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
