region_schema,region_parent,region_child,agerange,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10
admin_1,rs,rs-10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,3,1,0,2,4,3,0,0,4,1,0,0,2,2,3,5,3,0,1,0,2,1,1,0,0,0,0,0,0,1,1,3,3,8,14,1,28,2,6,7,1,1,0,2,0,2,4,0,0,5,0,1,0,2
admin_1,rs,rs-11,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,3,4,1,1,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
admin_1,rs,rs-12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,3,8,8,3,2,6,2,5,1,3,0,0,1,1,4,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,rs,rs-13,,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,12,16,0,1,4,4,5,3,4,0,1,6,4,3,5,0,3,1,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
admin_1,rs,rs-14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0,3,6,2,1,0,1,2,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
admin_1,rs,rs-15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,7,0,2,12,0,2,12,0,7,8,7,3,1,5,3,0,0,1,3,1,1,0,2,0,0,0,0,1,1,2,1,0,0,0,3,0,0,0,2,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
admin_1,rs,rs-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,1,0,5,4,2,0,0,0,3,2,0,0,0,0,0,0,2,2,1,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
admin_1,rs,rs-17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,1,7,1,0,0,8,0,0,2,0,1,1,2,5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,rs,rs-18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,3,3,0,0,0,0,2,1,1,1,2,0,6,1,0,2,3,2,3,1,0,0,0,1,0,1,5,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,5,0,4,7,0,0
admin_1,rs,rs-19,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3,2,0,0,0,1,3,0,2,10,0,0,4,0,6,0,1,2,6,0,1,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1
admin_1,rs,rs-20,,0,0,0,0,0,4,0,0,4,2,0,0,8,0,2,0,5,0,0,7,13,0,6,5,1,0,1,1,5,24,4,1,0,13,2,1,11,13,0,7,3,0,8,2,1,0,1,0,0,1,0,2,3,3,2,1,0,1,0,1,0,5,0,1,0,1,2,0,0,0,3,6,0,1,0,1,6,1
admin_1,rs,rs-21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,2,0,2,0,0,5,1,0,4,1,0,0,0,0,0,0,3,1,0,0,0,0,1,1,0,1,0,0,1,2,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0
admin_1,rs,rs-22,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0,10,2,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,4,0,0,1,4,0,1,0,0,0,3,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
admin_1,rs,rs-24,,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,1,2,1,7,1,1,3,1,4,3,3,2,0,1,0,0,0,1,0,0,1,2,6,0,0,1,0,0,0,7,1,11,2,5,0,0,0,0,1,10,1,1,0,0,1,1,0,2,0,0,0,0,6,0,1,0,19,1,0,0
admin_1,rs,rs-29,,,,,,,,,,,,,,,,,,,,,,,,2,0,4,0,1,2,0,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
