region_schema,region_parent,region_child,agerange,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-12,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-20,2020-05-31,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08
lga,au-vic,boroondara,,4,4,,,,,,,,3,4,,,,2,,2,1,1,1,,,0,1,,,,,,,1,0,,,,2,2,,4,,,8,9,12,12,17,23,23,26,,32,35,38,,46,49,50,52,,,,51,55,,60,61,69,70,71,69,69,65,,,67,66,67,67,74,76,83,86,85,52,49,48,46,41,40,38,32,,29,23,19,18,19,19,14,13,9,,9,10,9,9,6,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,2,3,4,4,4,4,4,4,4,,4,,3,3,,,2,2,2,,1,1,1,,,1,1,1,,1,,2,0,0,0,0,0,0,0,0,
lga,au-vic,brimbank,,15,18,,,,,,,,8,9,,,,6,,6,6,1,2,,,2,4,,,,,,,19,24,,,,40,49,,49,,,75,75,82,97,116,153,156,180,,240,252,271,,358,411,436,481,,,,603,651,,684,734,749,749,791,813,849,863,,,883,893,886,876,856,831,784,750,743,478,401,378,354,334,300,299,285,,273,269,250,235,226,222,205,202,199,,205,204,170,169,157,151,132,133,129,123,133,127,103,96,98,95,87,77,74,55,56,50,46,43,40,39,37,33,28,22,,23,,21,21,,,16,9,9,,9,10,8,,,8,8,8,,8,,9,9,7,7,6,4,2,1,1,
lga,au-vic,buloke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,campaspe,,0,0,,,,,,,,2,1,,,,0,,0,0,0,1,,,1,1,,,,,,,1,1,,,,,0,,0,,,0,0,0,0,1,1,1,0,,0,0,0,,0,0,0,0,,,,1,1,,1,1,1,1,1,1,1,1,,,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,,3,3,3,2,2,2,2,2,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,cardinia,,3,3,,,,,,,,,0,,,,0,,0,0,1,3,,,5,6,,,,,,,5,5,,,,,0,,0,,,0,0,1,3,4,8,11,10,,13,15,17,,19,21,23,24,,,,25,35,,36,39,47,52,55,60,66,74,,,85,91,92,99,98,96,95,94,85,50,43,42,33,30,33,34,34,,31,28,26,28,27,26,25,29,27,,22,16,15,15,12,10,10,9,9,8,8,8,7,7,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,casey,,4,3,,,,,,,,1,9,,,,6,,3,2,2,4,,,5,6,,,,,,,17,15,,,,21,21,,17,,,21,20,19,21,22,29,34,35,,62,70,78,,106,116,130,149,,,,186,223,,262,274,297,310,326,330,343,349,,,344,356,354,370,379,356,346,355,349,228,205,192,182,167,159,151,149,,143,140,136,133,130,121,110,100,95,,87,80,73,72,78,81,84,83,78,79,74,67,61,55,45,35,33,30,17,11,12,12,10,13,11,10,10,14,13,13,,13,,10,9,,,6,6,6,,5,5,5,,,1,1,1,,1,,2,2,2,2,2,2,1,1,1,
lga,au-vic,central goldfields,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,colac otway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,2,5,12,,26,26,43,46,,,,54,76,,76,88,89,87,91,92,92,92,,,85,74,61,59,55,48,42,39,36,15,12,13,12,11,8,9,9,,9,10,11,11,12,17,22,23,24,,25,30,29,33,28,26,23,22,20,16,14,12,12,10,8,5,2,2,2,1,1,1,1,1,1,1,1,1,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,corangamite,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,1,1,0,,,,0,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,darebin,,3,3,,,,,,,,3,0,,,,0,,1,1,1,1,,,4,4,,,,,,,2,4,,,,7,8,,10,,,15,19,25,30,38,51,56,66,,78,80,84,,85,86,83,91,,,,103,118,,139,155,165,175,212,233,245,254,,,262,261,274,278,293,297,295,294,298,238,221,210,197,193,191,183,173,,169,167,139,131,132,125,119,113,102,,90,79,73,68,60,48,47,45,41,41,39,16,14,13,15,13,11,10,10,8,8,8,8,7,4,4,4,3,4,4,,2,,4,5,,,6,5,5,,4,3,3,,,5,7,7,,8,,9,7,7,7,4,2,0,0,0,
lga,au-vic,east gippsland,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,1,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,,,1,1,,1,1,1,1,1,2,2,2,,,2,2,1,1,1,1,1,0,0,0,0,1,1,3,3,3,3,,2,2,2,2,2,2,2,2,2,,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,frankston,,2,2,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,1,,,,1,1,,2,,,2,3,2,3,3,3,3,5,,6,9,12,,13,15,18,18,,,,31,38,,47,42,50,54,57,64,66,65,,,70,71,77,81,81,81,89,95,94,77,75,74,69,66,62,57,56,,46,41,36,36,29,26,21,23,21,,16,15,15,14,14,13,12,9,8,8,7,2,2,3,2,3,3,4,4,9,9,9,9,9,8,8,8,7,5,5,,9,,10,10,,,7,7,4,,3,2,1,,,1,1,1,,1,,1,1,1,1,1,1,1,1,0,
lga,au-vic,gannawarra,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,glen eira,,5,4,,,,,,,,5,2,,,,1,,1,1,1,1,,,1,1,,,,,,,3,5,,,,6,4,,3,,,1,2,3,3,3,6,9,11,,15,17,17,,21,24,27,28,,,,40,45,,54,58,62,66,75,74,72,69,,,67,66,68,65,66,65,67,67,64,43,40,37,30,21,26,24,20,,20,20,20,20,14,14,13,14,14,,15,17,17,15,12,12,11,12,12,12,13,11,9,3,3,1,1,0,0,0,1,1,1,2,2,2,3,3,3,5,,5,,3,1,,,1,1,1,,1,1,1,,,0,1,1,,1,,1,1,1,1,1,1,1,1,1,
lga,au-vic,glenelg,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,,,,,,0,,0,,,0,0,0,0,0,0,0,0,,1,2,2,,3,3,3,5,,,,6,13,,12,11,13,13,13,14,13,15,,,12,11,5,7,7,7,5,5,5,5,4,4,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,golden plains,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,1,0,3,3,4,,4,4,5,,8,8,6,6,,,,8,8,,10,10,10,10,12,12,13,13,,,11,11,11,11,11,7,4,3,3,1,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,greater bendigo,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,2,2,,1,,,1,4,3,3,3,4,3,3,,4,4,4,,4,4,4,4,,,,11,18,,19,22,26,25,29,39,48,53,,,54,53,52,56,54,49,47,44,38,27,25,25,24,24,23,23,16,,16,10,9,8,8,9,7,6,4,,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,greater dandenong,,1,1,,,,,,,,,2,,,,0,,2,2,2,3,,,2,2,,,,,,,5,5,,,,3,3,,3,,,4,3,3,4,4,5,11,10,,21,33,37,,54,63,70,84,,,,130,144,,161,176,183,186,193,200,202,209,,,201,197,198,206,208,204,211,206,200,141,125,130,122,112,117,117,110,,105,110,101,97,92,85,72,58,53,,52,53,49,46,43,42,42,40,36,35,27,22,19,15,13,15,14,17,18,14,12,12,10,10,10,10,10,8,10,11,,11,,13,13,,,7,6,5,,5,5,3,,,4,4,3,,2,,3,2,2,2,2,2,2,2,2,
lga,au-vic,greater geelong,,0,0,,,,,,,,,1,,,,1,,1,1,1,1,,,0,0,,,,,,,0,0,,,,1,2,,1,,,2,6,5,5,5,6,7,7,,6,11,13,,18,23,29,29,,,,44,59,,88,98,106,120,132,131,150,154,,,180,179,172,167,169,158,155,159,151,118,109,98,90,88,74,66,71,,59,55,50,50,40,38,38,21,19,,16,15,11,10,7,7,6,4,3,3,3,3,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,greater shepparton,,0,0,,,,,,,,1,1,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,1,,,1,1,0,1,2,2,1,1,,2,2,2,,2,2,1,1,,,,0,0,,1,1,1,1,1,1,4,7,,,12,15,18,18,18,20,20,19,19,16,18,17,16,17,17,15,15,,15,15,9,5,5,5,5,4,3,,2,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,,,3,3,3,,3,3,3,,,2,2,2,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,hepburn,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,,,,0,0,,0,0,2,2,1,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,hindmarsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,hobsons bay,,4,4,,,,,,,,1,1,,,,1,,1,1,0,0,,,0,0,,,,,,,1,1,,,,4,5,,11,,,19,15,21,18,23,32,39,47,,59,59,58,,65,67,64,73,,,,78,79,,90,102,102,109,118,132,131,139,,,157,154,167,175,174,176,172,175,176,141,130,133,129,121,117,109,109,,90,82,76,70,82,76,68,68,68,,64,64,65,54,55,49,45,41,44,40,42,41,40,35,34,33,35,34,31,32,27,24,21,12,11,11,10,10,10,10,,10,,16,14,,,13,13,12,,8,8,4,,,3,3,3,,3,,3,3,2,2,2,1,0,0,0,
lga,au-vic,horsham,,0,0,,,,,,,,,0,,,,0,,0,0,0,0,,,0,0,,,,,,,0,0,,,,,0,,0,,,0,0,0,0,0,0,2,3,,3,4,3,,4,4,5,7,,,,7,7,,7,7,7,6,6,5,5,5,,,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,3,3,,3,3,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,hume,,3,5,,,,,,,,9,2,,,,10,,4,3,3,4,,,3,5,,,,,,,25,29,,,,82,85,,100,,,150,143,167,176,209,246,235,251,,277,300,286,,329,335,343,338,,,,392,428,,462,497,488,491,528,559,567,590,,,583,570,570,566,570,560,544,531,527,339,318,318,284,247,257,251,230,,205,193,180,175,166,164,134,133,128,,90,87,79,78,73,75,72,68,69,70,65,61,56,48,46,42,43,39,35,29,19,15,14,12,10,9,9,10,10,10,,9,,9,12,,,15,13,13,,17,15,17,,,17,17,14,,12,,9,6,6,4,3,2,2,2,0,
lga,au-vic,indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,,,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,interstate,,2,2,,,,,,,,7,10,,,,3,,1,2,2,3,,,4,4,,,,,,,1,2,,,,2,2,,2,,,3,2,1,2,3,3,3,3,,4,4,4,,6,6,7,7,,,,10,10,,13,13,13,14,15,14,13,13,,,13,12,10,10,11,11,9,9,8,5,4,3,9,9,10,11,11,,9,9,6,6,6,6,4,3,2,,2,2,3,4,3,4,3,4,4,5,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,kingston,,1,1,,,,,,,,,0,,,,0,,1,1,1,0,,,0,0,,,,,,,2,2,,,,4,4,,3,,,2,3,3,4,5,5,7,11,,14,14,20,,33,33,38,42,,,,56,57,,52,59,67,80,83,89,92,95,,,118,123,123,121,123,132,132,129,136,111,106,106,92,81,78,69,69,,71,67,63,63,64,53,53,49,48,,43,42,38,29,26,23,19,18,20,13,13,11,9,5,5,5,3,3,3,3,2,2,3,3,2,2,2,2,2,2,,1,,1,1,,,1,1,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,
lga,au-vic,knox,,1,1,,,,,,,,,1,,,,2,,2,2,0,0,,,1,2,,,,,,,7,6,,,,3,3,,0,,,4,3,3,5,6,6,5,6,,9,13,12,,18,22,22,26,,,,41,44,,44,45,46,48,50,55,61,62,,,66,70,67,65,65,64,65,61,58,37,29,29,26,24,23,22,23,,22,18,18,17,15,15,10,10,10,,7,6,5,4,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,1,1,1,1,,1,,1,1,,,1,2,2,,2,2,2,,,2,2,2,,1,,1,0,0,0,0,0,0,0,0,
