region_schema,region_parent,region_child,agerange,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
admin_1,fr,fr-22,,8,12,33,0,34,90,3,58,37,27,12,11,22,19,19,0,16,2,2,0,10,2,6,6,0,1,2,3,6,0,0,2,4,1,5,0,6,0,1,1,0,2,6,0,4,0,1,1,0,2,0,0,0,0,2,0,0,20,0,0,14,0,20,26,21,3,0,0,6,2,12,10,0,8,0,6,8,5,17,8,6,12,15,30,20,0,19,4,9,20,1,9,16,2,2,1,29,32,8,15,25,1,9,26,32,14,24,54,11,21,33,28,40,41,21,31,12,52,33,85,54,23,25,4,114,36,94,41,63,35,7,92,119,113,19,42,17,7,68,25,64,56,60
admin_1,fr,fr-23,,2,2,0,0,4,2,1,7,2,2,2,1,19,0,6,4,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,3,1,1,5,1,0,2,6,9,12,6,17,0,8,2,14,2,2,0,0,0,3,1,10,8,0,0,1,2,1,0,6,8,2,3,11,4,4,5,3,0,2,7,10,2,12,6,1,1,9,10,1,6,6,5,6,10,5,17,10,6
admin_1,fr,fr-24,,4,0,0,0,0,2,8,0,2,2,0,0,2,0,0,2,2,0,0,1,3,0,2,1,1,0,0,2,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,6,0,2,0,8,0,0,2,0,2,0,0,0,0,4,0,0,2,4,0,2,0,2,2,4,4,5,1,1,3,5,2,3,2,0,1,1,3,7,6,4,0,7,37,19,16,16,23,16,24,10,27,58,55,8,11,21,30,62,3,65,35,25,2,61,63,61,99,26,1,17,99,42,97,84,37,23,23,47,42,44,87,57,7,8,80,51,51,65,37
admin_1,fr,fr-25,,3,7,16,11,2,15,13,5,6,7,3,2,2,8,8,3,11,2,2,4,20,16,3,7,4,4,1,27,2,6,8,0,2,4,10,2,3,6,1,1,3,6,6,7,4,1,8,0,12,10,6,0,0,4,5,6,21,1,4,3,9,13,2,3,7,1,3,3,19,6,8,11,9,3,4,10,12,13,9,17,6,10,9,3,10,18,4,6,6,23,18,29,23,32,11,1,57,40,16,60,1,9,18,50,54,51,47,79,17,59,75,62,74,16,116,43,45,80,77,89,130,108,4,26,183,138,78,176,175,2,75,165,13,255,38,44,44,38,120,160,1,126,60
admin_1,fr,fr-26,,10,11,17,0,2,10,5,3,6,0,0,2,1,2,4,5,0,0,0,2,2,4,5,4,4,0,20,10,1,3,4,4,2,2,0,12,1,5,2,3,3,8,3,9,8,0,1,3,0,1,4,0,0,4,6,5,17,13,18,17,0,38,8,22,8,16,0,6,7,17,1,9,2,4,14,4,8,2,0,5,9,2,2,0,8,16,2,2,4,21,7,19,30,12,5,37,91,6,74,71,34,15,39,66,48,56,63,62,40,65,87,72,80,42,54,6,20,92,93,74,17,74,20,46,139,55,101,99,72,31,26,75,122,103,116,112,38,173,58,83,158,219,114
admin_1,fr,fr-27,,21,1,5,2,6,8,10,4,1,8,3,6,10,10,1,5,0,0,1,5,0,6,6,2,0,2,2,2,0,1,3,0,0,5,5,2,0,4,0,2,0,4,2,9,5,1,2,3,3,9,3,3,0,1,11,0,4,2,0,2,2,0,0,0,3,11,0,1,1,4,3,7,0,0,0,8,4,25,6,0,0,7,11,15,21,16,10,3,3,21,19,9,34,21,14,11,31,38,54,4,16,12,7,69,52,40,71,61,40,31,112,72,57,84,90,66,50,98,98,184,106,98,72,58,248,140,122,162,72,82,84,189,229,191,188,109,32,27,219,150,121,108,115
admin_1,fr,fr-28,,15,8,16,0,12,10,5,7,2,0,0,0,7,10,6,8,13,0,2,12,4,4,18,0,0,3,9,5,15,0,3,3,2,6,0,0,1,4,1,2,2,0,2,3,3,0,1,2,15,5,18,7,0,5,37,3,3,8,0,0,1,1,0,1,1,0,0,1,2,12,7,12,14,0,2,16,0,0,13,15,4,6,16,28,28,4,9,5,5,26,6,89,12,14,4,46,1,40,32,38,31,2,1,87,12,21,66,33,4,18,45,59,62,74,28,29,50,123,103,43,65,63,23,87,33,131,41,75,44,20,5,131,120,10,156,1,17,38,99,69,46,85,85
admin_1,fr,fr-29,,5,4,1,3,0,1,3,2,6,6,0,2,6,0,2,6,0,0,0,1,3,0,2,0,0,3,5,2,0,4,0,0,0,0,0,0,2,0,0,0,3,1,0,1,1,0,0,10,0,0,5,11,0,0,4,7,16,27,48,0,19,49,41,95,49,27,2,3,7,12,4,13,7,2,16,1,17,7,5,9,5,34,14,17,59,11,41,6,16,35,41,2,98,64,0,56,28,64,51,75,7,12,38,80,89,17,101,12,16,9,91,57,60,87,85,39,12,66,75,99,91,55,2,24,194,33,116,97,84,27,72,111,117,111,68,90,44,47,76,58,108,181,88
admin_1,fr,fr-2a,,6,4,0,0,0,3,4,1,0,4,0,1,3,0,6,1,1,0,0,0,2,1,5,1,1,0,2,0,0,0,0,0,0,4,2,0,0,0,0,1,1,1,1,0,2,0,0,2,1,3,2,0,0,2,0,0,0,2,1,1,3,5,4,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,3,8,1,2,1,3,2,2,1,1,0,5,7,6,8,9,4,9,18,50,15,51,41,29,22,18,86,69,63,61,24,23,36,56,51,37,31,54,23,15,17,59,45,29,35,11,31,68,50,29,51,17,2,4,27,40,12,22,30
admin_1,fr,fr-2b,,4,1,0,2,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,2,3,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,6,3,5,4,0,0,0,1,2,1,0,0,0,2,2,0,2,1,5,0,4,3,7,0,0,0,2,1,4,2,5,2,8,0,8,2,4,5,7,6,0,12,18,11,44,44,39,4,24,38,52,42,46,84,12,58,60,72,49,32,42,22,35,70,16,42,31,25,8,6,21,21,25,28,18,5,4,44,9,18,32,24
