region_schema,region_parent,region_child,agerange,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-16,2020-05-18,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-19,2020-06-21,2020-06-22,2020-06-24,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-03,2020-07-04,2020-07-05,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-23,2020-07-24,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17,2020-08-19,2020-08-21
lga,au-vic,corangamite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lga,au-vic,darebin,,35,35,35,35,35,36,37,37,37,38,39,38,38,38,38,38,39,40,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,43,43,43,43,44,44,45,48,49,49,51,52,53,55,58,60,62,63,66,78,79,93,69,69,72,76,80,95,101,107,115,124,131,132,133,138,158,149,150,161,168,171,180,189,195,208,230,243,261,269,363
lga,au-vic,east gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3
lga,au-vic,frankston,,36,36,36,36,37,37,38,38,38,38,40,40,40,40,40,40,40,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,40,40,40,40,41,40,41,42,42,42,43,43,43,41,41,42,42,43,44,43,46,47,47,47,46,46,49,53,57,58,60,60,64,67,68,70,74,83,86,87,94,124
lga,au-vic,gannawarra,,,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
lga,au-vic,glen eira,,43,44,44,45,45,45,45,45,47,46,48,48,49,49,49,50,50,50,50,50,50,50,50,51,51,51,51,51,51,52,52,52,52,52,53,54,53,53,54,54,55,55,55,55,55,57,57,58,60,61,61,61,60,61,65,60,60,60,60,60,60,60,64,65,66,67,66,68,70,76,73,73,76,81,86,88,91,92,99,108,111,114,120,143
lga,au-vic,glenelg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,5,6,6,8,7,11,12,13,13,15,15,14
lga,au-vic,golden plains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,3,4,4,4,4,5,5,5,5,6,6,7,7,7,7,9,9,9,9,13,15,16,18
lga,au-vic,greater bendigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,9,9,9,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,14,11,12,12,12,12,12,14,18,20,30,34,40,52,69
lga,au-vic,greater dandenong,,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,19,20,20,20,20,20,21,21,22,24,25,25,25,27,28,28,27,30,31,39,29,29,30,32,32,34,34,35,38,38,42,42,44,50,72,64,68,73,78,85,98,108,112,131,152,169,173,194,276
lga,au-vic,greater geelong,,,,,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,67,67,68,69,68,72,69,68,69,70,69,69,71,71,72,74,74,75,76,76,76,75,76,76,89,83,83,89,91,95,98,103,104,113,138,153,160,172,226
lga,au-vic,greater shepparton,,,,,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,16,15,16,16,16,15,15,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,20,31
lga,au-vic,hepburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,2,2,2,2,2,2,2,2
lga,au-vic,hobsons bay,,15,14,15,15,15,16,17,18,18,18,19,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,21,20,20,21,21,21,25,20,25,27,28,31,38,39,49,39,39,45,48,48,54,61,62,68,69,72,81,89,93,106,98,101,105,110,114,120,122,133,137,152,160,171,185,229
lga,au-vic,horsham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,5,6,6,6,6,8,7,7,8,8,8,8,10
lga,au-vic,hume,,37,36,37,36,37,37,38,39,40,45,46,47,48,48,53,56,56,56,56,56,56,56,56,57,57,57,57,57,58,60,63,66,69,70,71,70,73,74,75,78,78,82,86,104,116,124,124,119,160,153,184,208,256,263,279,250,250,282,307,318,358,374,409,429,434,449,468,483,506,557,547,563,607,628,647,676,695,713,743,808,842,877,929,1168
lga,au-vic,indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,2
lga,au-vic,kingston,,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,29,30,31,32,33,34,35,36,38,36,35,37,36,36,35,37,37,39,40,40,45,46,47,51,54,56,65,61,62,64,68,70,73,73,76,82,87,92,101,112,155
lga,au-vic,knox,,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,16,15,15,16,15,15,18,17,17,20,20,20,23,21,23,23,25,24,25,25,26,25,25,26,28,28,28,29,29,31,30,31,31,35,38,41,40,40,43,45,49,51,55,57,58,66,71,72,81,107
lga,au-vic,latrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,8,8,8,9,8,8,8,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,13,13,14,15,21,21,23,28
lga,au-vic,loddon,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
lga,au-vic,macedon ranges,,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,10,11,11,11,11,12,17,20,20,20,21,23,26,29,40
lga,au-vic,manningham,,,,,,,,,,,,,29,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,32,33,33,33,33,34,34,33,35,34,36,37,36,38,40,38,44,41,41,42,43,43,50,54,56,59,59,63,65,66,67,77,70,71,73,74,73,75,78,82,85,92,96,97,102,127
lga,au-vic,mansfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,8
lga,au-vic,maribyrnong,,11,10,10,10,11,12,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,20,20,21,21,21,22,24,26,25,27,30,34,36,37,37,53,54,71,53,53,53,59,66,79,88,92,103,106,112,116,121,122,137,142,144,152,160,164,178,183,189,208,234,252,267,299,389
lga,au-vic,maroondah,,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,16,16,16,16,16,16,14,16,16,17,16,18,17,20,17,17,17,17,18,20,20,21,21,21,21,22,24,24,25,25,26,30,31,37,40,44,45,44,47,51,54,59,76
lga,au-vic,melbourne,,68,69,69,71,72,74,75,77,79,82,81,81,84,88,93,94,95,95,98,97,94,94,95,94,97,97,97,97,98,101,102,102,107,107,108,107,108,117,113,119,92,93,96,94,91,94,100,79,117,117,129,202,177,151,176,146,146,150,181,190,240,255,281,294,306,317,330,350,360,384,384,394,421,424,433,442,453,457,476,502,514,533,554,709
lga,au-vic,melton,,20,20,20,20,21,23,24,24,29,32,31,33,32,35,34,36,36,36,38,39,41,41,41,41,41,41,41,42,43,43,43,44,44,44,44,44,44,44,44,44,47,47,46,50,52,58,60,62,66,70,76,78,88,100,112,83,83,86,94,98,112,118,130,145,152,163,166,177,182,232,204,215,238,248,259,295,311,327,348,404,427,468,518,737
lga,au-vic,mildura,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
lga,au-vic,mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,11,11,11,12,14,15,17,18,20,19,21,15,15,20,20,20,23,23,25,26,26,26,26,25,26,30,28,29,29,29,29,31,31,30,32,39,40,41,43,61
lga,au-vic,moira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,11,10
lga,au-vic,monash,,,,,45,45,45,45,45,45,46,48,48,48,49,49,50,50,50,50,50,50,50,50,49,49,49,49,49,49,49,50,51,51,51,51,51,51,51,50,52,52,53,53,53,54,54,55,54,59,61,58,59,62,61,62,58,58,58,60,62,68,69,72,75,77,78,81,85,85,93,89,95,102,103,105,106,114,118,125,139,149,149,158,191
lga,au-vic,moonee valley,,,,,,,36,36,36,36,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,38,38,38,38,38,42,43,40,43,46,55,66,64,83,87,99,115,125,129,158,130,130,149,167,190,219,242,267,278,285,295,309,324,332,346,345,352,370,379,383,397,408,417,428,447,458,470,486,577
lga,au-vic,moorabool,,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,4,5,8,8,8,11,12,13,14,14,17,17,20,22
lga,au-vic,moreland,,50,50,50,50,51,52,52,53,54,54,55,56,57,58,59,59,61,61,61,61,62,62,62,62,64,64,64,64,64,64,64,64,64,65,65,65,65,67,67,68,71,77,73,78,82,86,86,95,106,110,122,123,131,140,156,133,133,144,153,158,174,186,199,218,223,230,242,255,266,312,295,304,329,337,347,364,382,397,422,463,479,504,524,654
lga,au-vic,mornington peninsula,,59,60,59,59,59,59,59,59,59,59,58,59,59,59,60,60,60,60,60,60,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,61,62,63,63,63,63,63,63,64,63,63,64,64,64,68,64,64,64,65,65,65,65,67,68,69,69,69,69,73,74,72,73,75,75,75,75,76,77,78,80,81,82,82,97
lga,au-vic,mount alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,9,9,10
lga,au-vic,moyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2
lga,au-vic,murrindindi,,,,,,,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5
lga,au-vic,nillumbik,,22,22,22,22,23,24,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,27,26,26,26,26,27,27,27,27,27,27,27,27,28,29,33,28,28,30,30,30,30,31,31,32,33,33,33,33,36,39,37,39,40,42,44,47,49,52,54,58,65,68,72,83
lga,au-vic,northern grampians,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
lga,au-vic,port phillip,,46,46,46,47,46,46,46,47,47,47,45,46,46,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,47,47,48,50,48,51,50,54,54,58,58,62,57,57,59,60,63,65,67,70,71,73,76,80,83,83,89,91,93,96,97,98,103,103,105,111,119,124,128,140,169
lga,au-vic,pyrenees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,2,2,2,2,2
lga,au-vic,queenscliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1
lga,au-vic,south gippsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,7,7,7,7,7,8,8,8,8,8,8,11
lga,au-vic,southern grampians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
lga,au-vic,stonnington,,87,87,88,88,89,89,89,90,90,91,95,95,95,95,95,95,95,95,95,95,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95,96,97,97,97,98,98,98,99,100,102,108,105,106,105,107,105,105,108,109,108,114,115,120,121,121,128,126,129,130,131,138,141,143,145,151,153,158,158,158,166,170,176,188,212
lga,au-vic,surf coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,13
lga,au-vic,swan hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
lga,au-vic,wangaratta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
lga,au-vic,warrnambool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
lga,au-vic,wellington,,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14
lga,au-vic,west wimmera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lga,au-vic,whitehorse,,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,25,25,25,25,25,25,25,26,26,26,27,25,26,27,29,34,36,34,42,31,31,32,33,34,41,48,49,51,52,55,57,59,60,66,68,70,78,78,79,83,85,87,88,96,102,109,116,150
lga,au-vic,whittlesea,,22,22,22,23,23,24,26,27,28,27,27,27,26,26,30,30,30,30,30,30,30,30,31,31,31,31,34,34,33,34,34,34,34,34,34,34,34,34,34,34,38,39,42,45,49,54,54,52,57,62,68,74,89,102,114,89,89,89,98,104,121,130,147,159,167,176,184,194,212,248,245,259,288,304,317,336,358,389,420,483,510,548,611,779
lga,au-vic,wodonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
lga,au-vic,wyndham,,30,32,33,34,36,40,39,43,47,48,51,50,51,50,51,51,51,51,51,51,51,51,51,51,52,52,51,51,51,51,51,52,56,55,55,56,56,56,57,57,58,58,58,61,65,63,73,52,102,105,120,123,155,153,187,156,156,186,202,218,255,270,318,337,356,384,395,426,457,533,502,524,560,586,619,658,686,731,770,882,935,981,1076,1463
lga,au-vic,yarra,,25,24,24,24,24,24,24,26,27,26,27,27,28,28,29,29,29,30,30,31,31,31,31,31,31,31,31,31,31,30,30,30,30,30,30,30,32,32,32,32,32,34,32,32,33,32,33,37,44,42,44,45,54,58,75,54,54,55,60,64,81,88,95,98,104,108,114,124,136,146,149,151,157,164,179,187,200,209,219,243,255,260,275,349
lga,au-vic,yarra ranges,,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,27,27,27,29,29,27,27,27,27,27,30,30,31,32,34,36,36,36,38,38,54,40,45,49,57,61,68,71,73,79,94,104,105,126,154
postcode,au-vic,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,52,52,55,57,61,67,89
postcode,au-vic,3001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1
postcode,au-vic,3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,7,7,8,8
postcode,au-vic,3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,19,19,20,21,31
postcode,au-vic,3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,15,18,22,27,29,36
postcode,au-vic,3006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27,28,29,29,36,37,54
postcode,au-vic,3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,20,22,24,26,32,42
postcode,au-vic,3011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,37,40,50,52,55,66,97
postcode,au-vic,3012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,78,84,93,100,105,107,134
postcode,au-vic,3013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,17,19,21,23,29,39
postcode,au-vic,3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,19,19,21,25,26,28,31
