region_schema,region_parent,region_child,agerange,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19
admin_1,hr,hr-12,,3,6,5,7,12,4,9,0,5,1,-3,-1,-4,-2,-1,-10,-5,0,-4,-6,-11,-3,-6,-3,-3,-2,1,0,3,-2,0,-1,0,7,3,0,5,0,4,0,3,7,1,6,7,3,6,16,5,12,8,15,6,8,10,-4,0,4,-18,-2,-9,1,-8,2,-8,-4,0,1,0,3,2,13,-7,-2,5,10,-3,-1,-2,-6,-49,-4,-6,-11,-8,0,0,0,-5,3,-2,1,-1,6,1,-3,7,3,5,3,4,2,11,0,24,1,23,15,25,27,29,51,29,29,12,134,68,25,42,-58,16,95,59,0,-59,10,-59,-2,51,-54,-9,79,37,-38,32,70,-46,10,0,-73,-56,83,0,-69,-30,-48,45,92,34,-8,-19,-112,-32,64,-36
admin_1,hr,hr-13,,0,1,1,1,5,16,5,2,1,4,-2,2,7,2,0,-5,-1,0,-15,-5,-15,-1,-3,-1,-3,-3,0,2,1,1,1,0,3,0,1,1,1,0,5,1,6,11,4,3,7,10,5,17,16,4,7,8,4,2,23,6,7,-2,-6,-2,0,-4,-2,4,-11,-4,9,-5,8,-10,0,-5,-9,-1,4,-10,3,-9,-19,-11,-37,-15,1,0,2,-4,-5,0,-5,0,-2,9,10,14,-1,3,0,-6,-13,12,-2,6,16,6,4,0,18,12,10,20,2,0,13,23,30,49,11,9,-21,-2,7,15,27,3,0,-11,7,23,26,30,57,14,64,57,24,13,20,-36,0,-18,39,35,0,-48,15,38,-22,48,-9,-57,-35,-25,-23,-39,-16
admin_1,hr,hr-14,,2,11,-4,-25,-14,-17,10,13,1,9,-9,-18,-2,3,-12,-4,0,0,-6,-46,-12,-7,-9,-1,2,-3,-2,6,-3,-7,-4,3,-3,-8,4,2,4,-2,2,9,9,4,4,-3,1,14,0,-6,3,5,2,-2,-9,-3,-1,1,-9,1,-17,11,0,0,5,0,-7,0,2,5,0,1,0,-3,4,16,0,-9,4,4,-1,-3,-15,-15,-7,7,1,1,-1,-4,1,4,-1,3,28,45,27,5,29,3,3,17,36,103,54,-6,17,13,64,98,73,119,52,-55,41,61,149,83,69,-40,-64,-75,-6,-21,-41,71,90,-44,-30,57,76,17,141,14,17,29,48,-24,6,-187,0,48,122,90,0,64,8,117,130,-166,83,-58,-147,16,46,5,-42
admin_1,hr,hr-15,,2,6,0,3,7,1,-1,-1,1,-3,0,-3,1,3,-2,-1,-1,0,-3,-1,6,-1,0,-1,-4,0,0,0,0,-1,-2,-1,-3,-1,-2,1,-1,2,3,7,12,15,17,1,17,9,2,25,11,10,-4,-11,16,-5,6,-11,8,-7,-16,1,-8,10,-13,-1,-16,-13,3,-3,-2,-13,4,-6,-5,0,1,1,-3,-4,1,-2,-18,1,-3,-2,0,-3,5,-3,3,-2,-6,4,0,4,1,-4,1,0,0,3,6,15,8,5,-2,4,29,12,40,6,18,-10,1,27,19,32,34,-16,-26,-3,-5,25,6,13,-11,-39,-20,45,39,42,23,-19,68,43,-20,-47,11,-111,0,34,32,94,0,-76,107,151,71,-22,36,-70,-100,-21,5,8,-99
admin_1,hr,hr-16,,7,7,3,0,2,3,12,6,0,8,6,6,19,19,0,36,-4,0,55,-2,-4,-9,4,-19,-5,9,-21,-6,13,-13,-11,1,-20,-2,-9,-6,0,-15,-10,7,-3,-15,2,-8,-4,-6,-1,-9,1,-3,-4,-10,3,-4,14,-4,8,-5,-3,0,3,10,-3,0,-7,-1,3,5,-4,13,-2,-2,7,1,-7,8,-1,-3,-1,-2,-37,3,-1,19,16,1,9,9,7,4,4,2,-2,27,7,-1,13,-16,-15,10,-10,43,18,-1,25,-5,20,16,32,26,20,-5,22,-2,46,22,8,62,6,-37,3,6,-50,29,38,40,7,-10,30,-58,-32,68,-44,11,45,7,-44,-69,0,59,-30,55,0,-1,-71,27,82,29,-40,-33,-64,-74,-22,2,-55
admin_1,hr,hr-17,,2,1,13,5,7,17,5,5,9,-3,5,-2,1,10,-1,-4,-3,0,15,-9,-5,0,-7,-2,21,7,3,-2,4,6,-11,-1,-12,11,1,17,-7,14,17,28,51,14,20,17,28,46,43,63,73,72,5,13,62,40,42,49,34,-53,-36,4,21,18,8,-7,-47,-65,6,-37,-61,-32,-37,-51,-28,-8,7,31,11,-25,-37,-17,-148,-30,-6,16,-39,-29,-7,-9,-2,-16,-25,32,38,30,18,34,-16,-18,29,83,35,11,52,20,-15,114,127,86,101,171,29,-40,128,261,132,126,76,-119,-162,64,239,76,-6,-24,-74,-183,-87,118,128,-86,240,240,-4,74,4,-145,33,-251,0,106,142,170,0,-303,-70,259,-5,-178,-1,35,-239,8,143,-54,-138
admin_1,hr,hr-18,,1,0,0,1,0,1,0,0,0,36,-1,0,8,6,9,3,3,0,22,-9,2,-3,-6,-1,-2,-2,-3,-5,-6,-5,-11,-8,-7,-6,-8,-1,-1,-1,1,-2,0,1,0,3,4,4,25,9,5,1,2,8,6,0,8,-1,-9,-1,-5,-2,-5,-2,4,-5,-4,2,-3,5,-6,-4,0,-1,-3,-2,0,-7,-7,-3,-4,-2,-20,7,1,0,0,0,2,-1,-3,2,-2,-1,2,1,-1,2,1,-1,0,6,8,1,13,3,2,9,24,45,62,40,52,-10,32,46,1,7,2,-48,-31,7,27,25,34,29,33,23,17,16,18,-12,13,0,3,5,15,-31,3,-28,0,-10,5,2,0,8,11,9,21,-15,27,-8,-29,7,5,-34,-37
admin_1,hr,hr-19,,1,11,0,-1,6,1,2,-3,2,0,4,1,0,-2,-2,-2,0,0,-5,-3,-4,-1,-2,1,-5,-1,-2,0,-2,1,1,0,-1,3,-1,1,0,-1,0,2,3,6,1,0,0,9,3,4,12,7,4,8,3,1,-4,10,13,2,2,10,10,12,12,16,1,11,17,0,-6,0,2,-29,-12,-10,-7,-11,2,-12,-14,-6,-38,-8,1,6,4,-8,5,16,-2,-3,-4,14,18,20,8,9,-15,-6,-6,7,2,-2,27,6,-10,21,16,23,10,30,11,-22,35,47,90,25,19,17,-41,2,-5,3,-25,-35,-2,-9,-10,50,-8,-6,25,-12,-2,21,21,-39,-2,-43,0,-65,16,4,0,-44,16,20,24,7,31,-21,-33,-18,-7,-1,-40
admin_1,hr,hr-20,,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,5,0,3,2,0,0,8,1,1,0,3,1,1,-1,-3,1,1,-1,-1,-3,2,2,0,1,1,0,-2,-1,-2,-2,1,-1,-2,1,2,-1,0,3,22,3,3,-1,0,-3,10,1,-5,-1,0,10,18,-6,6,13,15,7,7,19,-22,-2,46,8,29,37,24,-18,0,55,53,47,92,42,-38,17,50,123,84,78,3,-94,-50,109,64,15,35,-8,-114,-21,161,32,-43,162,-90,64,139,25,-119,-52,-149,0,-30,197,78,0,-164,-50,173,11,-31,-69,-35,-155,-80,108,-35,-50
admin_1,hr,hr-21,,8,6,2,8,13,29,0,2,2,-7,-2,-4,-7,-19,-22,-19,-24,0,-48,-10,-47,-4,-15,-6,4,-9,5,19,-5,-9,-10,-3,-19,-5,23,-4,0,27,30,32,37,21,46,28,31,21,44,17,40,1,0,-10,2,18,34,10,2,-7,-42,6,16,4,-1,-13,-29,-17,7,-15,-29,1,-2,-36,-37,-7,15,-8,1,17,-20,-29,-125,-17,5,5,6,-18,17,35,21,26,15,25,47,90,80,128,64,17,34,121,92,211,97,166,-5,118,339,251,347,435,483,-52,-31,382,235,158,211,-31,-388,-376,149,-49,-84,-80,-127,-261,-105,247,204,-33,207,134,75,342,69,-117,-62,-708,0,-13,281,198,0,-323,-99,362,9,-23,40,-179,-364,-62,26,-12,-141
