region_schema,region_parent,region_child,agerange,2020-03-28,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-16,2020-05-18,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-19,2020-06-21,2020-06-22,2020-06-24,2020-06-26,2020-06-27,2020-06-28,2020-06-30,2020-07-01,2020-07-03,2020-07-04,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-12,2020-07-13,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-23,2020-07-24,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17,2020-08-19,2020-08-21
lga,au-vic,campaspe,,,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
lga,au-vic,cardinia,,4,7,7,8,9,9,9,10,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,19,20,20,22,23,23,24,23,23,23,23,22,22,22,22,22,22,22,23,26,27,34,34,37,37,43,44,45,48,51,53,58,59,59,70,71,74,79,89,94,103,110,120,122,127,136,143,158,160,163,168,170
lga,au-vic,casey,,20,28,30,31,35,37,37,40,45,45,47,48,49,49,50,49,51,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53,55,55,55,56,56,56,56,56,56,56,56,57,57,57,58,58,58,58,58,58,58,61,65,65,67,68,68,68,70,68,69,70,70,70,71,71,72,74,75,76,77,80,80,81,99,99,100,106,110,114,117,120,125,129,132,133,142,144,155,155,173,173,202,213,240,261,276,310,338,348,365,409,438,462,483,516,539,579,596,607,629,647,663,685,746,756,765,809,834
lga,au-vic,central goldfields,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
lga,au-vic,colac-otway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12,27,26,43,48,51,55,56,79,83,81,95,97,97,106,106,108,109,109,108,108,99,97,97,97,97
lga,au-vic,corangamite,,,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lga,au-vic,darebin,,11,24,24,25,27,27,27,29,29,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,34,34,34,34,34,34,34,34,36,36,36,37,38,38,38,38,38,38,38,38,38,39,40,40,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,43,43,43,43,44,44,47,47,48,49,50,52,54,57,58,60,64,67,72,73,77,84,100,106,123,123,139,139,152,160,168,181,184,203,215,228,234,250,273,277,297,314,325,394,413,425,429,438,457,469,523,540,556,567,584
lga,au-vic,east gippsland,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
lga,au-vic,frankston,,15,28,30,31,32,33,34,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,38,38,38,38,38,38,38,38,39,39,39,40,40,40,40,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,42,42,42,43,44,43,44,44,44,44,47,47,51,54,55,59,61,74,77,76,78,84,93,96,100,107,112,124,126,129,135,138,140,145,164,167,176,188,199
lga,au-vic,gannawarra,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
lga,au-vic,glen eira,,27,38,40,44,45,45,45,46,45,45,46,46,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,48,48,48,48,48,48,48,48,49,49,49,49,50,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,53,54,54,55,56,57,58,60,59,60,61,60,60,60,60,61,62,63,63,64,69,69,73,73,77,77,78,84,87,95,100,104,107,111,120,124,130,135,139,150,153,155,154,156,159,165,174,176,181,184,186
lga,au-vic,glenelg,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,4,7,7,7,7,14,14,14,14,16,16,19,19,21,23,23,23,23,20,20,20,20,19
lga,au-vic,golden plains,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,4,5,5,5,6,9,9,9,9,9,10,12,13,13,15,15,16,16,19,20,20,20,20,20,20,20,20,19,19,19
lga,au-vic,greater bendigo,,1,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10,13,12,12,13,13,13,13,13,14,14,14,14,14,16,18,21,21,28,30,30,33,37,37,51,60,65,68,71,72,73,84,83,88,90,96
lga,au-vic,greater dandenong,,3,9,9,11,6,11,11,12,14,15,15,15,15,15,15,16,16,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,18,20,20,20,21,22,22,22,23,23,24,25,26,26,27,27,28,28,28,29,30,30,30,32,32,40,40,47,47,63,69,76,97,104,122,137,162,172,186,200,211,233,247,254,273,280,294,303,304,313,328,360,373,384,394,401
lga,au-vic,greater geelong,,23,43,46,50,53,54,56,56,56,57,58,58,60,60,61,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67,67,68,68,68,70,70,74,73,73,74,76,76,77,77,82,84,90,97,103,106,107,111,120,134,149,164,177,189,203,220,241,249,262,271,284,292,307,311,315,323,335
lga,au-vic,greater shepparton,,3,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15,15,17,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,21,24,25,26,29,32,35,37,39,39,47
lga,au-vic,hepburn,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2
lga,au-vic,hobsons bay,,7,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,17,18,18,19,18,18,18,18,19,19,19,20,20,20,20,20,20,20,20,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,22,23,25,26,32,32,39,41,40,47,53,57,72,72,92,92,104,106,113,121,125,138,140,149,150,160,170,183,196,200,210,237,241,253,265,282,290,291,326,336,343,361,370
lga,au-vic,horsham,,,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,7,6,7,7,8,10,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12
lga,au-vic,hume,,10,26,27,29,30,31,31,32,32,34,33,34,34,34,34,34,34,35,35,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,40,40,40,41,42,42,42,45,47,52,54,54,54,55,55,55,57,57,57,57,57,57,58,59,62,64,65,65,68,70,70,70,70,70,72,74,75,75,78,82,85,91,103,109,118,155,177,205,213,223,276,284,299,331,398,416,464,464,530,530,582,593,626,693,717,763,810,826,841,896,943,968,1019,1035,1054,1166,1195,1237,1254,1280,1296,1313,1378,1402,1421,1456,1486
lga,au-vic,indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2
lga,au-vic,kingston,,6,14,14,16,16,16,17,17,18,19,20,23,22,22,22,22,22,22,24,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,29,29,29,31,34,34,35,35,35,35,36,37,38,40,40,43,43,49,49,49,57,63,72,78,86,100,103,103,108,109,108,117,128,142,153,160,165,170,177,194,205,210,224,233,248,261
lga,au-vic,knox,,3,9,9,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,18,18,19,24,23,23,23,23,23,23,24,27,27,27,27,30,30,30,30,35,35,39,40,42,50,51,62,67,68,72,75,77,82,85,86,88,98,106,111,115,119,123,128,131,135,137,139,144
lga,au-vic,latrobe,,3,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,12,13,13,13,15,15,15,15,15,16,17,19,22,27,27,33,34,35,37,42,43,44,46,45,46
lga,au-vic,loddon,,,,,,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4
lga,au-vic,macedon ranges,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,13,14,14,15,16,18,20,22,22,25,30,31,30,39,41,47,46,41,42,47,47,47,53,55,55,57,56
lga,au-vic,manningham,,8,14,16,17,18,20,22,24,24,24,24,24,25,26,27,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,28,30,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,32,33,33,33,33,33,33,33,34,34,36,39,39,41,44,44,49,53,54,65,65,73,73,78,79,82,89,90,94,97,99,101,106,110,110,120,122,130,139,142,145,146,148,150,153,154,154,154,159,163
lga,au-vic,mansfield,,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9
lga,au-vic,maribyrnong,,5,7,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,13,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,19,23,25,25,26,27,30,33,34,37,41,44,50,54,61,64,84,84,104,104,121,121,135,149,161,186,195,220,234,249,261,279,300,311,326,333,350,383,392,420,441,450,460,465,478,486,497,506,519
lga,au-vic,maroondah,,3,6,7,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,19,19,20,20,23,23,25,25,27,27,29,29,31,37,38,45,52,54,59,64,67,70,71,72,74,77,78,81,84,84,85,86,94,94,95,95,97
lga,au-vic,melbourne,,33,40,41,43,46,47,49,50,53,55,55,55,56,55,59,62,61,65,66,67,66,67,67,67,67,68,68,68,68,68,70,73,73,74,74,77,77,78,78,80,80,82,85,90,95,97,94,99,101,102,98,99,100,101,104,107,104,107,107,106,108,108,108,110,108,109,110,110,115,116,116,117,128,135,139,138,100,100,104,106,103,117,129,137,185,199,221,318,332,312,334,334,410,410,449,455,462,516,518,560,585,593,593,620,629,640,664,684,692,715,719,729,752,764,770,780,802,804,821,828,848
lga,au-vic,melton,,11,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,20,20,20,22,22,22,22,23,23,24,26,27,27,28,30,31,35,35,37,37,39,40,40,40,40,40,40,40,41,42,42,42,43,43,43,44,44,44,44,44,44,44,44,44,44,45,46,47,49,51,52,53,62,64,75,76,77,85,88,91,96,109,127,145,145,189,189,210,219,233,277,287,341,375,397,416,478,517,533,583,603,619,687,732,747,761,793,816,849,919,933,948,977,1012
lga,au-vic,mildura,,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
lga,au-vic,mitchell,,5,6,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,12,15,16,17,17,18,19,20,20,23,27,27,29,29,31,31,34,33,34,34,34,36,39,41,40,44,45,48,52,54,56,63,65,64,64,65,66,67,72,73,73,73,77
lga,au-vic,moira,,3,7,7,7,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,11,11,11,11,11,11,11,11,11,11,11
lga,au-vic,monash,,14,26,31,33,37,38,38,39,40,40,40,42,42,42,42,43,43,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,48,48,48,49,49,50,50,50,50,50,50,50,50,50,50,52,51,51,51,51,51,51,51,51,52,53,53,53,53,53,53,52,52,53,53,53,53,54,55,56,57,62,66,66,70,75,76,79,79,84,84,89,93,99,109,112,125,130,136,141,146,152,157,165,173,174,188,197,200,203,205,207,210,222,225,226,240,251
lga,au-vic,moonee valley,,14,26,28,28,29,30,31,33,36,36,36,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,40,41,41,45,54,57,60,72,73,86,97,104,120,134,160,198,248,271,319,319,353,353,374,387,402,433,449,484,497,503,509,529,536,546,560,574,584,616,624,636,644,652,659,669,683,690,694,698,701
lga,au-vic,moorabool,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,6,6,8,9,9,12,12,14,15,15,15,15,17,19,19,19,21,22,24,24,24,26,26,25,25,26,30
